subID	Model	randi	scl0	eta0	Mp0	wp0	scl	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	31.000000	1.006992	0.151307	1.000000	1.000000	1.023828	0.135742	1.000000	1.000000	260.073864	2.004832	2.000000	12.000000
1.000000	1.000000	29.000000	0.920299	0.102235	1.000000	1.000000	0.992188	0.136401	1.000000	1.000000	257.668625	1.331460	2.000000	11.000000
1.000000	1.000000	6.000000	1.073094	0.143126	1.000000	1.000000	1.173047	0.143066	1.000000	1.000000	258.374778	1.675244	2.000000	11.000000
1.000000	1.000000	1.000000	0.926972	0.302315	1.000000	1.000000	1.170313	0.145740	1.000000	1.000000	258.825499	1.643615	2.000000	12.000000
1.000000	1.000000	12.000000	1.024855	0.115638	1.000000	1.000000	1.097461	0.123730	1.000000	1.000000	269.370983	2.689813	2.000000	12.000000
1.000000	1.000000	9.000000	0.944004	0.287344	1.000000	1.000000	1.032550	0.112334	1.000000	1.000000	275.568620	2.272679	2.000000	13.000000
1.000000	1.000000	35.000000	1.085937	0.191023	1.000000	1.000000	1.125391	0.150482	1.000000	1.000000	256.207215	0.133013	2.000000	13.000000
1.000000	1.000000	8.000000	1.062494	0.225255	1.000000	1.000000	1.014099	0.143524	1.000000	1.000000	258.770874	1.640428	2.000000	13.000000
1.000000	1.000000	5.000000	0.994328	0.270224	1.000000	1.000000	1.180705	0.164525	1.000000	1.000000	257.885395	0.113898	2.000000	13.000000
1.000000	1.000000	28.000000	0.928559	0.210404	1.000000	1.000000	1.067931	0.160297	1.000000	1.000000	257.520788	0.099599	2.000000	13.000000
1.000000	1.000000	13.000000	1.023256	0.258309	1.000000	1.000000	0.957062	0.160544	1.000000	1.000000	257.900209	0.127446	2.000000	13.000000
1.000000	1.000000	26.000000	0.922269	0.111443	1.000000	1.000000	1.341207	0.152909	1.000000	1.000000	256.334217	0.127396	2.000000	11.000000
1.000000	1.000000	24.000000	0.974266	0.396771	1.000000	1.000000	1.062988	0.147095	1.000000	1.000000	257.214544	0.992738	2.000000	13.000000
1.000000	1.000000	17.000000	0.967076	0.222752	1.000000	1.000000	1.595508	0.140979	1.000000	1.000000	255.855140	0.993383	2.000000	13.000000
1.000000	1.000000	19.000000	0.982898	0.144052	1.000000	1.000000	1.778058	0.150693	1.000000	1.000000	256.599614	0.123723	2.000000	16.000000
1.000000	1.000000	21.000000	0.910431	0.117731	1.000000	1.000000	0.975560	0.155256	1.000000	1.000000	257.476221	0.106800	2.000000	14.000000
1.000000	1.000000	37.000000	0.965931	0.276646	1.000000	1.000000	1.005129	0.151950	1.000000	1.000000	256.764862	0.133899	2.000000	17.000000
1.000000	1.000000	2.000000	1.027669	0.255839	1.000000	1.000000	1.396038	0.159988	1.000000	1.000000	257.306225	0.134197	2.000000	17.000000
1.000000	1.000000	20.000000	0.928931	0.144480	1.000000	1.000000	0.859464	0.164389	1.000000	1.000000	258.166487	0.094269	2.000000	18.000000
1.000000	1.000000	18.000000	1.022386	0.378436	1.000000	1.000000	1.106439	0.148431	1.000000	1.000000	256.112530	0.147152	1.000000	20.000000
1.000000	1.000000	7.000000	1.072172	0.307723	1.000000	1.000000	1.392015	0.144459	1.000000	1.000000	256.072691	0.992718	2.000000	19.000000
1.000000	1.000000	3.000000	1.094600	0.313131	1.000000	1.000000	1.385398	0.152190	1.000000	1.000000	256.275980	0.146935	2.000000	17.000000
1.000000	1.000000	23.000000	0.908373	0.116201	1.000000	1.000000	1.161499	0.137134	1.000000	1.000000	257.989068	1.601223	1.000000	21.000000
1.000000	1.000000	27.000000	1.087429	0.318768	1.000000	1.000000	1.250599	0.160919	1.000000	1.000000	257.519435	0.115001	1.000000	20.000000
1.000000	1.000000	40.000000	0.986207	0.379585	1.000000	1.000000	1.190065	0.140944	1.000000	1.000000	258.072163	1.639614	2.000000	18.000000
1.000000	1.000000	14.000000	0.904964	0.130809	1.000000	1.000000	1.167327	0.132357	1.000000	1.000000	261.320321	2.269851	1.000000	25.000000
1.000000	1.000000	34.000000	0.990602	0.387630	1.000000	1.000000	0.699987	0.139415	1.000000	1.000000	261.959479	2.020084	1.000000	24.000000
1.000000	1.000000	10.000000	0.961190	0.210978	1.000000	1.000000	1.031158	0.166352	1.000000	1.000000	258.381247	0.097942	1.000000	20.000000
1.000000	1.000000	38.000000	0.929423	0.389803	1.000000	1.000000	0.953656	0.141254	1.000000	1.000000	258.068238	1.363214	1.000000	20.000000
1.000000	1.000000	11.000000	0.900098	0.382103	1.000000	1.000000	1.131289	0.156553	1.000000	1.000000	256.879046	0.115086	1.000000	27.000000
1.000000	1.000000	16.000000	1.022136	0.292340	1.000000	1.000000	1.375781	0.142792	1.000000	1.000000	257.030324	1.368282	2.000000	21.000000
1.000000	1.000000	32.000000	0.965803	0.347195	1.000000	1.000000	1.020094	0.171046	1.000000	1.000000	258.824382	0.103958	1.000000	22.000000
1.000000	1.000000	33.000000	1.025359	0.242652	1.000000	1.000000	1.011420	0.144169	1.000000	1.000000	261.624497	2.213069	2.000000	23.000000
