subID	TimeConstraint	Model	randi	scl0	eta0	Mp0	wp0	scl	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	10.000000	1.000000	28.000000	0.928559	0.210404	1.000000	1.000000	1.499292	0.058728	1.000000	1.000000	113.550900	0.984227	2.000000	11.000000
1.000000	10.000000	1.000000	16.000000	1.022136	0.292340	1.000000	1.000000	0.973047	0.113477	1.000000	1.000000	116.186240	0.106210	2.000000	12.000000
1.000000	10.000000	1.000000	34.000000	0.990602	0.387630	1.000000	1.000000	0.983398	0.102637	1.000000	1.000000	115.323134	0.105682	2.000000	12.000000
1.000000	10.000000	1.000000	9.000000	0.944004	0.287344	1.000000	1.000000	1.358392	0.081580	1.000000	1.000000	113.475230	0.110913	2.000000	13.000000
1.000000	10.000000	1.000000	23.000000	0.908373	0.116201	1.000000	1.000000	0.843164	0.111426	1.000000	1.000000	117.156641	1.008984	2.000000	12.000000
1.000000	10.000000	1.000000	35.000000	1.085937	0.191023	1.000000	1.000000	1.083398	0.102637	1.000000	1.000000	114.822963	0.097014	2.000000	12.000000
1.000000	10.000000	1.000000	4.000000	0.964824	0.102352	1.000000	1.000000	1.045581	0.110025	1.000000	1.000000	115.662262	0.067449	2.000000	13.000000
1.000000	10.000000	1.000000	39.000000	0.944956	0.160094	1.000000	1.000000	1.206879	0.113403	1.000000	1.000000	115.818034	0.087843	2.000000	13.000000
1.000000	10.000000	1.000000	17.000000	0.967076	0.222752	1.000000	1.000000	1.700877	0.063583	1.000000	1.000000	112.732157	0.097144	2.000000	14.000000
1.000000	10.000000	1.000000	19.000000	0.982898	0.144052	1.000000	1.000000	0.953150	0.110207	1.000000	1.000000	116.893882	1.009706	2.000000	15.000000
1.000000	10.000000	1.000000	31.000000	1.006992	0.151307	1.000000	1.000000	1.342065	0.105237	1.000000	1.000000	115.151591	0.100358	2.000000	12.000000
1.000000	10.000000	1.000000	5.000000	0.994328	0.270224	1.000000	1.000000	1.312769	0.068936	1.000000	1.000000	117.844975	2.028055	2.000000	15.000000
1.000000	10.000000	1.000000	27.000000	1.087429	0.318768	1.000000	1.000000	1.043555	0.110840	1.000000	1.000000	115.824716	0.075926	2.000000	16.000000
1.000000	10.000000	1.000000	2.000000	1.027669	0.255839	1.000000	1.000000	1.487115	0.080875	1.000000	1.000000	113.486558	0.113844	2.000000	17.000000
1.000000	10.000000	1.000000	37.000000	0.965931	0.276646	1.000000	1.000000	1.336505	0.078146	1.000000	1.000000	115.163286	1.395032	2.000000	17.000000
1.000000	10.000000	1.000000	20.000000	0.928931	0.144480	1.000000	1.000000	1.565603	0.069697	1.000000	1.000000	112.928583	0.100001	2.000000	15.000000
1.000000	10.000000	1.000000	1.000000	0.926972	0.302315	1.000000	1.000000	1.695559	0.049140	1.000000	1.000000	112.237291	0.116600	2.000000	16.000000
1.000000	10.000000	1.000000	33.000000	1.025359	0.242652	1.000000	1.000000	1.627500	0.043135	1.000000	1.000000	114.024367	1.369368	2.000000	17.000000
1.000000	10.000000	1.000000	11.000000	0.900098	0.382103	1.000000	1.000000	1.335527	0.079016	1.000000	1.000000	113.331797	0.128759	2.000000	18.000000
1.000000	10.000000	1.000000	22.000000	1.098145	0.228377	1.000000	1.000000	1.689088	0.045611	1.000000	1.000000	116.081614	1.869406	2.000000	16.000000
1.000000	10.000000	1.000000	15.000000	0.903495	0.168517	1.000000	1.000000	1.711805	0.054951	1.000000	1.000000	112.367606	0.102267	2.000000	17.000000
1.000000	10.000000	1.000000	40.000000	0.986207	0.379585	1.000000	1.000000	0.893330	0.126000	1.000000	1.000000	117.120807	0.082456	2.000000	18.000000
1.000000	10.000000	1.000000	10.000000	0.961190	0.210978	1.000000	1.000000	1.763528	0.041838	1.000000	1.000000	114.522454	1.365421	2.000000	22.000000
1.000000	10.000000	1.000000	26.000000	0.922269	0.111443	1.000000	1.000000	1.085211	0.091147	1.000000	1.000000	116.337972	1.383871	2.000000	19.000000
1.000000	10.000000	1.000000	32.000000	0.965803	0.347195	1.000000	1.000000	1.115183	0.104737	1.000000	1.000000	115.218429	0.081262	1.000000	19.000000
1.000000	10.000000	1.000000	3.000000	1.094600	0.313131	1.000000	1.000000	1.980865	0.045242	1.000000	1.000000	112.576014	0.092251	2.000000	17.000000
1.000000	10.000000	1.000000	25.000000	1.059729	0.272673	1.000000	1.000000	1.743195	0.044968	1.000000	1.000000	114.311176	1.385299	2.000000	17.000000
1.000000	10.000000	1.000000	24.000000	0.974266	0.396771	1.000000	1.000000	1.368822	0.082147	1.000000	1.000000	113.503264	0.117679	1.000000	24.000000
1.000000	10.000000	1.000000	38.000000	0.929423	0.389803	1.000000	1.000000	1.808099	0.046881	1.000000	1.000000	112.273279	0.119035	1.000000	26.000000
1.000000	10.000000	1.000000	18.000000	1.022386	0.378436	1.000000	1.000000	1.371847	0.088777	1.000000	1.000000	113.709472	0.107045	1.000000	25.000000
1.000000	10.000000	1.000000	21.000000	0.910431	0.117731	1.000000	1.000000	1.171946	0.116502	1.000000	1.000000	116.153110	0.096309	2.000000	21.000000
1.000000	10.000000	1.000000	7.000000	1.072172	0.307723	1.000000	1.000000	1.740077	0.054806	1.000000	1.000000	112.477690	0.104753	1.000000	25.000000
1.000000	10.000000	1.000000	8.000000	1.062494	0.225255	1.000000	1.000000	1.964569	0.045169	1.000000	1.000000	112.642952	0.111641	1.000000	30.000000
1.000000	10.000000	1.000000	30.000000	0.930680	0.224396	1.000000	1.000000	1.316615	0.081533	1.000000	1.000000	113.439218	0.096361	1.000000	26.000000
1.000000	10.000000	1.000000	12.000000	1.024855	0.115638	1.000000	1.000000	1.418554	0.082496	1.000000	1.000000	114.506950	0.991081	1.000000	26.000000
1.000000	10.000000	1.000000	29.000000	0.920299	0.102235	1.000000	1.000000	1.736865	0.044080	1.000000	1.000000	112.344257	0.142094	1.000000	32.000000
1.000000	10.000000	1.000000	13.000000	1.023256	0.258309	1.000000	1.000000	1.896515	0.043539	1.000000	1.000000	112.596924	0.071205	1.000000	27.000000
1.000000	10.000000	1.000000	14.000000	0.904964	0.130809	1.000000	1.000000	1.752277	0.060849	1.000000	1.000000	112.750258	0.106761	1.000000	30.000000
1.000000	10.000000	1.000000	6.000000	1.073094	0.143126	1.000000	1.000000	1.600840	0.078595	1.000000	1.000000	113.379087	0.093049	2.000000	29.000000
1.000000	10.000000	1.000000	36.000000	0.974141	0.155098	1.000000	1.000000	2.073053	0.024430	1.000000	1.000000	113.609186	1.003135	2.000000	34.000000
1.000000	10.000000	2.000000	2.000000	0.900637	0.327315	1.000000	1.000000	1.059766	0.105273	1.000000	1.000000	116.587169	0.984006	2.000000	11.000000
1.000000	10.000000	2.000000	29.000000	0.902625	0.394619	1.000000	1.000000	1.039844	0.105859	1.000000	1.000000	116.854115	1.010754	2.000000	12.000000
1.000000	10.000000	2.000000	11.000000	1.041250	0.239176	1.000000	1.000000	1.019531	0.108203	1.000000	1.000000	115.915844	0.102776	2.000000	12.000000
1.000000	10.000000	2.000000	8.000000	0.955910	0.104285	1.000000	1.000000	0.939456	0.112165	1.000000	1.000000	117.235987	0.997223	2.000000	14.000000
1.000000	10.000000	2.000000	34.000000	0.951168	0.154327	1.000000	1.000000	0.936523	0.116699	1.000000	1.000000	116.606109	0.119820	2.000000	12.000000
1.000000	10.000000	2.000000	12.000000	1.019476	0.390632	1.000000	1.000000	1.489819	0.084509	1.000000	1.000000	114.593491	0.083742	2.000000	14.000000
1.000000	10.000000	2.000000	19.000000	1.026183	0.199951	1.000000	1.000000	1.759993	0.022691	1.000000	1.000000	114.061239	0.982912	2.000000	14.000000
1.000000	10.000000	2.000000	1.000000	1.089270	0.301364	1.000000	1.000000	1.349170	0.086084	1.000000	1.000000	114.430269	0.088689	2.000000	13.000000
1.000000	10.000000	2.000000	15.000000	0.903365	0.161800	1.000000	1.000000	1.723291	0.091960	1.000000	1.000000	116.095129	0.078258	2.000000	11.000000
1.000000	10.000000	2.000000	23.000000	1.016428	0.240333	1.000000	1.000000	1.578638	0.076599	1.000000	1.000000	114.440478	0.097806	2.000000	15.000000
1.000000	10.000000	2.000000	5.000000	0.994752	0.317401	1.000000	1.000000	1.091640	0.123948	1.000000	1.000000	117.220562	0.079079	2.000000	16.000000
1.000000	10.000000	2.000000	7.000000	0.903134	0.118690	1.000000	1.000000	1.089197	0.118256	1.000000	1.000000	116.678679	0.102400	2.000000	17.000000
1.000000	10.000000	2.000000	38.000000	1.010249	0.175658	1.000000	1.000000	1.017482	0.115366	1.000000	1.000000	116.501477	0.106249	2.000000	15.000000
1.000000	10.000000	2.000000	30.000000	0.928818	0.229571	1.000000	1.000000	0.996680	0.115527	1.000000	1.000000	116.491907	0.115504	2.000000	17.000000
1.000000	10.000000	2.000000	28.000000	1.086615	0.335960	1.000000	1.000000	0.956055	0.129590	1.000000	1.000000	117.639320	0.060183	2.000000	15.000000
1.000000	10.000000	2.000000	25.000000	1.044213	0.195722	1.000000	1.000000	1.409441	0.075361	1.000000	1.000000	115.110686	0.982172	2.000000	14.000000
1.000000	10.000000	2.000000	13.000000	1.082998	0.215117	1.000000	1.000000	1.746289	0.000098	1.000000	1.000000	113.447168	0.979742	2.000000	15.000000
1.000000	10.000000	2.000000	32.000000	0.963170	0.157678	1.000000	1.000000	1.549532	0.072398	1.000000	1.000000	116.049016	1.406028	2.000000	15.000000
1.000000	10.000000	2.000000	27.000000	0.945239	0.321887	1.000000	1.000000	1.070117	0.108496	1.000000	1.000000	115.840194	0.122818	2.000000	18.000000
1.000000	10.000000	2.000000	37.000000	1.012793	0.111058	1.000000	1.000000	1.029865	0.091907	1.000000	1.000000	117.691456	1.627061	2.000000	18.000000
1.000000	10.000000	2.000000	6.000000	1.027111	0.205422	1.000000	1.000000	1.009570	0.105566	1.000000	1.000000	115.696153	0.110635	1.000000	20.000000
1.000000	10.000000	2.000000	16.000000	1.020600	0.175776	1.000000	1.000000	0.963337	0.106762	1.000000	1.000000	116.004777	0.140846	1.000000	19.000000
1.000000	10.000000	2.000000	24.000000	0.977663	0.297530	1.000000	1.000000	1.469989	0.078293	1.000000	1.000000	115.380767	1.003622	2.000000	19.000000
1.000000	10.000000	2.000000	26.000000	1.032108	0.147836	1.000000	1.000000	1.713670	0.014440	1.000000	1.000000	114.690808	1.363009	1.000000	21.000000
1.000000	10.000000	2.000000	10.000000	1.016139	0.103620	1.000000	1.000000	1.215541	0.087688	1.000000	1.000000	115.255780	0.986699	2.000000	18.000000
1.000000	10.000000	2.000000	17.000000	0.979961	0.188361	1.000000	1.000000	0.942008	0.082579	1.000000	1.000000	124.996924	2.584374	1.000000	24.000000
1.000000	10.000000	2.000000	31.000000	0.936693	0.163917	1.000000	1.000000	0.934757	0.126921	1.000000	1.000000	117.567556	0.083570	1.000000	21.000000
1.000000	10.000000	2.000000	21.000000	0.989279	0.203950	1.000000	1.000000	1.694375	0.067160	1.000000	1.000000	114.370048	0.113929	1.000000	19.000000
1.000000	10.000000	2.000000	9.000000	0.925039	0.339088	1.000000	1.000000	1.531197	0.057549	1.000000	1.000000	113.251263	0.083917	2.000000	20.000000
1.000000	10.000000	2.000000	14.000000	1.058597	0.320788	1.000000	1.000000	0.990327	0.109167	1.000000	1.000000	115.850383	0.099055	2.000000	20.000000
1.000000	10.000000	2.000000	33.000000	1.059203	0.354603	1.000000	1.000000	0.836467	0.092770	1.000000	1.000000	127.809195	2.661234	1.000000	27.000000
1.000000	10.000000	2.000000	39.000000	0.971520	0.283462	1.000000	1.000000	1.693519	0.003547	1.000000	1.000000	117.631432	2.008662	1.000000	27.000000
1.000000	10.000000	2.000000	3.000000	1.073657	0.139367	1.000000	1.000000	1.363414	0.069124	1.000000	1.000000	115.609402	1.381891	1.000000	27.000000
