subID	modeli	name	scl	eta	Mp	wp	nll	nllsd	success	iterations
1	1	dDNb	1.37999798126657	0.145867376532806	1	1	255.481654063062	0.121263584262846	1	23
1	2	dDNd	1.34155426025391	0.140445709228516	1	1	255.218756540632	1.0063970909871	2	16
2	1	dDNb	1.99999961853027	0.37165641784668	1	1	349.591036268112	0.108454838639994	2	19
2	2	dDNd	1.99999694824219	0.406560817360878	1	1	351.641629641911	0.106172755805496	2	28
3	1	dDNb	0.2000244140625	0.19180908203125	1	1	181.041511978779	0.136243088896629	2	13
3	2	dDNd	0.2000244140625	0.18228759765625	1	1	181.285458808153	0.0999033458062202	2	12
4	1	dDNb	1.81099243164063	0.111846923828125	1	1	130.571291691794	0.133208191240427	2	17
4	2	dDNd	1.4401424407959	0.121162414550781	1	1	131.066269160509	0.114334865155446	2	17
5	1	dDNb	0.425994873046875	0.0891326904296875	1	1	164.570236707846	1.37563563420794	2	13
5	2	dDNd	0.335526394192129	0.0851929994183592	1	1	162.84479238765	1.36218799360102	2	27
6	1	dDNb	1.67884884625673	0.186482007056475	1	1	238.142328829127	0.102216569761805	1	17
6	2	dDNd	1.58719306396815	0.188548341666683	1	1	237.380878753588	0.0966811610069133	1	18
7	1	dDNb	0.366614890098572	0.271481275558472	1	1	291.179469008015	0.108230774272005	2	20
7	2	dDNd	0.401583045721054	0.267084062099457	1	1	291.293957807028	0.0960950920972778	2	26
8	1	dDNb	1.06455078125	0.14010009765625	1	1	177.874381309565	1.37131568031786	2	14
8	2	dDNd	0.200006103515625	0.146234130859375	1	1	178.234134724532	0.977285286609512	2	13
9	1	dDNb	1.3029052734375	0.12567138671875	1	1	191.613119297988	1.37825434205742	2	11
9	2	dDNd	0.847961044311523	0.147610855102539	1	1	195.256355775105	0.19649248766231	1	23
10	1	dDNb	0.200000381469726	0.467802810668945	1	1	354.343169881413	0.115673340961904	2	16
10	2	dDNd	0.200015265579441	0.468405722342095	1	1	354.217662655058	0.118803114080518	2	20
11	1	dDNb	0.259063720703125	0.965960693359375	1	1	371.685782910148	0.0936481291451894	2	19
11	2	dDNd	1.99999961853027	1.15390815734863	1	1	359.64578611267	0.104712595232348	2	13
12	1	dDNb	1.99999999403954	0.479216879606247	1	1	366.751838943917	0.107696562819622	2	18
12	2	dDNd	1.99999884438271	0.490962427666016	1	1	366.928759478184	0.100847017941674	1	19
13	1	dDNb	0.736825180053711	0.918972969055176	1	1	351.614668838455	0.104170538031212	2	18
13	2	dDNd	1.99087749728933	0.884657642431557	1	1	351.536541579619	0.0920871754579259	1	17
