subID	Model	eta	Mp	wp	nll	nllsd	success	iterations
1	3	1	7.93425664901734	-0.368589973449707	241.344553167238	0.0274034776665163	2	16
1	4	1	5.06724746227265	-0.242502737045288	6005.23955866114	0.00926290495409781	2	22
1	4b	1	6.75755101907999	-0.321567551232874	241.056842233634	0.0241584626866898	1	19
2	3	1	232.165642573997	-1	342.326475359209	0.00891743355624934	2	19
2	4	1	230.954898359132	-1	339.362837029843	0.0159215726366515	1	19
2	4b	1	234.570877686143	-1	341.989586576243	0.0176471806449497	1	20
3	3	1	2.13530258620081	0.195394267908955	180.301452052998	0.020079620092674	2	18
3	4	1	9.85571241378785	-0.0897979259490967	5415.45800649233	0.0143200651815899	2	11
3	4b	1	0.000799560546880684	0.2341552734375	189.19235629952	0.0212136475468233	2	16
4	3	1	12.7146397199391	-0.051799994254543	124.519760636257	0.0121086300263382	1	20
4	4	1	12.2672791540623	-0.0574107170104981	124.630516505535	0.0109830993187166	2	18
4	4b	1	11.81082064601	-0.049517341349565	124.515597428567	0.0101816224876033	2	19
5	3	1	15.3679860663359	-0.143201827350231	148.365449864859	0.0286523970048391	1	21
5	4	1	9.61544816493988	-0.100046145915985	147.0410581841	0.0580932435775424	1	23
5	4b	1	10.6262599945068	-0.109862327575684	148.998986754683	0.100195433571977	2	20
6	3	1	2.86102299185131e-07	0.286580514907837	239.137156186468	0.0144537986569691	2	14
6	4	1	4.73022461022765e-05	0.273916625976562	237.733193571404	0.0132594031080013	2	15
6	4b	1	5.7335114433954e-10	0.27573152963887	238.553553822154	0.0189047490708038	2	16
7	3	1	97.100076022489	-0.267257380519914	284.868550936842	0.0130377229169511	2	17
7	4	1	95.1219668955309	-0.263854524632916	285.605539752694	0.0150063887358566	2	15
7	4b	1	108.842661659326	-0.345387377031148	285.231066880882	0.0165055796871593	2	17
8	3	1	13.8945453121809	0.0178532366613581	165.917462204928	0.875829817485926	1	23
8	4	1	31.714233006275	-0.168899576197146	165.273633039539	0.116686065739879	1	32
8	4b	1	12.7248869028641	0.0222521087620407	165.191248322734	0.860319704743726	1	19
9	3	1	3.0692611694336	0.103692626953125	189.757174966615	0.0673515898647557	2	11
9	4	1	11.692476125434	-0.117787989974022	2843.6093441443	0.0996290047656384	2	21
9	4b	1	0.000799560546880684	0.14571533203125	185.873328149056	0.0941066520999788	2	13
10	3	1	35.6059129374742	-0.188086229525197	352.673959458229	0.0162374652721317	2	22
10	4	1	1.06170858771293e-08	0.700735624134541	354.946848092848	0.0149511520218556	1	19
10	4b	1	37.7845242500305	-0.228256584145129	353.69915952604	0.0140127684415699	2	19
11	3	1	7.69025503899456e-05	0.999999713768273	373.222285380078	0.0122581293474064	2	18
11	4	1	902.426009886153	0.579807742871344	8258.52777095265	0.00939574929264564	2	13
11	4b	1	4.73022461022765e-05	0.999988555908203	375.33045253426	0.0177920285309962	2	15
12	3	1	2.86102299185131e-07	0.724897718429566	368.315922225793	0.013832068198574	2	14
12	4	1	2.86102299185131e-07	0.719509792327881	368.954791650623	0.016957065800899	2	13
12	4b	1	0.000282096864459902	0.709765156043329	367.954579709156	0.0162836060211703	1	17
13	3	1	226.314598204195	-0.387917173653841	351.22906998543	0.016202609907204	2	17
13	4	1	314.560393004119	-0.960950538516045	350.794709944748	0.0161243023116413	2	18
13	4b	1	318.723994992953	-0.977530761994422	350.862071467604	0.0169587291248847	2	16
14	3	1	24.8940912945925	-0.210086678951666	160.613526576903	0.0118920802709329	1	25
14	4	1	23.240504484839	-0.210230781079736	160.322371266211	0.0137554685764425	2	24
14	4b	1	23.0349288955331	-0.203398540616036	159.254846456131	0.0141376864750326	2	11
15	3	1	2.86102299185131e-07	0.489698719978333	321.792653867273	0.012985522206677	2	18
15	4	1	1.06170858771293e-08	0.471365657821298	320.493989748973	0.0160795444092628	2	15
15	4b	1	0.0030090332384205	0.487886190979771	321.9528810425	0.0130196283993341	2	15
16	3	1	33.8435657111519	-0.550858011859054	330.414584616831	0.0139585307737857	1	21
16	4	1	30.0493433194933	-0.506559900764842	328.203204548678	0.0124020839997822	2	16
16	4b	1	30.1590172100812	-0.491688014566898	330.725818753967	0.0130317134100146	1	29
17	3	1	1.66267000167863e-12	0.328144595386721	245.914455875064	0.0159386445796481	1	15
