subID	TimeConstraint	Model	randi	scl0	eta0	Mp0	wp0	scl	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	10.000000	1.000000	33.000000	1.000000	0.242652	1.000000	1.000000	1.000000	0.079562	1.000000	1.000000	19.967301	0.002031	2.000000	12.000000
1.000000	10.000000	1.000000	32.000000	1.000000	0.347195	1.000000	1.000000	1.000000	0.080371	1.000000	1.000000	19.961080	0.002410	2.000000	12.000000
1.000000	10.000000	1.000000	39.000000	1.000000	0.160094	1.000000	1.000000	1.000000	0.079980	1.000000	1.000000	19.961199	0.001856	2.000000	12.000000
1.000000	10.000000	1.000000	10.000000	1.000000	0.210978	1.000000	1.000000	1.000000	0.078988	1.000000	1.000000	19.962284	0.002245	2.000000	12.000000
1.000000	10.000000	1.000000	9.000000	1.000000	0.287344	1.000000	1.000000	1.000000	0.079883	1.000000	1.000000	19.961558	0.002424	2.000000	12.000000
1.000000	10.000000	1.000000	8.000000	1.000000	0.225255	1.000000	1.000000	1.000000	0.079984	1.000000	1.000000	19.966964	0.003175	2.000000	12.000000
1.000000	10.000000	1.000000	38.000000	1.000000	0.389803	1.000000	1.000000	1.000000	0.079941	1.000000	1.000000	19.963671	0.002485	2.000000	12.000000
1.000000	10.000000	1.000000	19.000000	1.000000	0.144052	1.000000	1.000000	1.000000	0.079823	1.000000	1.000000	19.960754	0.002222	2.000000	12.000000
1.000000	10.000000	1.000000	5.000000	1.000000	0.270224	1.000000	1.000000	1.000000	0.079252	1.000000	1.000000	19.956869	0.002497	2.000000	12.000000
1.000000	10.000000	1.000000	14.000000	1.000000	0.130809	1.000000	1.000000	1.000000	0.079384	1.000000	1.000000	19.962662	0.002613	2.000000	12.000000
1.000000	10.000000	1.000000	36.000000	1.000000	0.155098	1.000000	1.000000	1.000000	0.080242	1.000000	1.000000	19.962841	0.002347	2.000000	12.000000
1.000000	10.000000	1.000000	40.000000	1.000000	0.379585	1.000000	1.000000	1.000000	0.079439	1.000000	1.000000	19.965170	0.002576	2.000000	12.000000
1.000000	10.000000	1.000000	12.000000	1.000000	0.115638	1.000000	1.000000	1.000000	0.079749	1.000000	1.000000	19.961143	0.002449	2.000000	12.000000
1.000000	10.000000	1.000000	37.000000	1.000000	0.276646	1.000000	1.000000	1.000000	0.079863	1.000000	1.000000	19.963825	0.002218	2.000000	12.000000
1.000000	10.000000	1.000000	27.000000	1.000000	0.318768	1.000000	1.000000	1.000000	0.080575	1.000000	1.000000	19.964044	0.002394	2.000000	12.000000
1.000000	10.000000	1.000000	2.000000	1.000000	0.255839	1.000000	1.000000	1.000000	0.079592	1.000000	1.000000	19.959963	0.002469	2.000000	12.000000
1.000000	10.000000	1.000000	24.000000	1.000000	0.396771	1.000000	1.000000	1.000000	0.079244	1.000000	1.000000	19.960939	0.003044	2.000000	12.000000
1.000000	10.000000	1.000000	4.000000	1.000000	0.102352	1.000000	1.000000	1.000000	0.079761	1.000000	1.000000	19.956891	0.002321	2.000000	12.000000
1.000000	10.000000	1.000000	1.000000	1.000000	0.302315	1.000000	1.000000	1.000000	0.079790	1.000000	1.000000	19.962889	0.002629	2.000000	12.000000
1.000000	10.000000	1.000000	13.000000	1.000000	0.258309	1.000000	1.000000	1.000000	0.079812	1.000000	1.000000	19.961501	0.002099	2.000000	12.000000
1.000000	10.000000	1.000000	7.000000	1.000000	0.307723	1.000000	1.000000	1.000000	0.080227	1.000000	1.000000	19.964553	0.001969	2.000000	12.000000
1.000000	10.000000	1.000000	17.000000	1.000000	0.222752	1.000000	1.000000	1.000000	0.079805	1.000000	1.000000	19.963150	0.002307	2.000000	12.000000
1.000000	10.000000	1.000000	26.000000	1.000000	0.111443	1.000000	1.000000	1.000000	0.080025	1.000000	1.000000	19.963580	0.002290	2.000000	12.000000
1.000000	10.000000	1.000000	6.000000	1.000000	0.143126	1.000000	1.000000	1.000000	0.079261	1.000000	1.000000	19.962247	0.002525	2.000000	12.000000
1.000000	10.000000	1.000000	11.000000	1.000000	0.382103	1.000000	1.000000	1.000000	0.079258	1.000000	1.000000	19.961579	0.002205	2.000000	12.000000
1.000000	10.000000	1.000000	23.000000	1.000000	0.116201	1.000000	1.000000	1.000000	0.079749	1.000000	1.000000	19.963726	0.002231	2.000000	12.000000
1.000000	10.000000	1.000000	22.000000	1.000000	0.228377	1.000000	1.000000	1.000000	0.079760	1.000000	1.000000	19.964000	0.002618	2.000000	12.000000
1.000000	10.000000	1.000000	20.000000	1.000000	0.144480	1.000000	1.000000	1.000000	0.079023	1.000000	1.000000	19.961829	0.002473	2.000000	12.000000
1.000000	10.000000	1.000000	35.000000	1.000000	0.191023	1.000000	1.000000	1.000000	0.079090	1.000000	1.000000	19.966054	0.002819	2.000000	12.000000
1.000000	10.000000	1.000000	25.000000	1.000000	0.272673	1.000000	1.000000	1.000000	0.080121	1.000000	1.000000	19.962836	0.002431	2.000000	13.000000
1.000000	10.000000	1.000000	28.000000	1.000000	0.210404	1.000000	1.000000	1.000000	0.079973	1.000000	1.000000	19.962820	0.002225	2.000000	12.000000
1.000000	10.000000	1.000000	31.000000	1.000000	0.151307	1.000000	1.000000	1.000000	0.079550	1.000000	1.000000	19.958975	0.002118	2.000000	12.000000
1.000000	10.000000	1.000000	21.000000	1.000000	0.117731	1.000000	1.000000	1.000000	0.079525	1.000000	1.000000	19.960473	0.002503	2.000000	12.000000
1.000000	10.000000	1.000000	15.000000	1.000000	0.168517	1.000000	1.000000	1.000000	0.079433	1.000000	1.000000	19.960250	0.002322	2.000000	12.000000
1.000000	10.000000	1.000000	18.000000	1.000000	0.378436	1.000000	1.000000	1.000000	0.080071	1.000000	1.000000	19.962904	0.002317	2.000000	12.000000
1.000000	10.000000	1.000000	29.000000	1.000000	0.102235	1.000000	1.000000	1.000000	0.080669	1.000000	1.000000	19.964357	0.002234	2.000000	12.000000
1.000000	10.000000	1.000000	34.000000	1.000000	0.387630	1.000000	1.000000	1.000000	0.080365	1.000000	1.000000	19.960578	0.002066	2.000000	12.000000
