subID	modeli	name	Mp	delta	wp	nll	nllsd	success	iterations
20	1	McFadden	39.5389404296875	1.99996337890625	NaN	362.190245739069	0.0350574755503221	2	13
20	2	LinearDistrb	38.4946985496208	1.9999999998603	NaN	361.536754035185	0.0359707320165606	2	18
20	3	DN	0.000653794047366318	1.99999724753023	0.331117961247378	354.918510289142	0.0338471984441968	1	27
20	4	dDNb	7.05718994140625e-05	1.99999942779541	0.309563827514648	354.143350005871	0.0354130220232213	2	15
20	5	dDNd	4.76837158203125e-07	1.99999996423721	0.318345236778259	354.131731148151	0.0285139662900171	2	18
21	1	McFadden	0.241149425506592	0.402915477752686	NaN	385.83952667368	0.0357314962777095	2	16
21	2	LinearDistrb	0.324784429656575	-0.267293803370558	NaN	386.460459332503	0.0342521631942523	1	32
21	3	DN	0.257179260253906	0.127848434448242	0	386.002921705782	0.0361136490420349	1	25
21	4	dDNb	3.37604433298111e-09	0.582762823451776	3.6561412183335	385.512526051979	0.0317631010302543	1	29
21	5	dDNd	4.76837158203125e-07	0.751433563232422	3.7049165725708	385.407039515495	0.0290182999153866	2	16
22	1	McFadden	2.6988590284509	0.167574682029635	NaN	350.097510615365	0.0327396359149524	1	19
22	2	LinearDistrb	1.99021148681641	0.292891693115234	NaN	348.618883213945	0.0309746738587898	1	24
22	3	DN	0.981649696826935	0.17142421901226	0.323060590028763	348.23948081767	0.039002800627136	2	11
22	4	dDNb	1.24219158291817	0.29980800151825	0.167253629863262	347.247465049591	0.0351633205269858	2	20
22	5	dDNd	1.43503332138062	0.228275918960571	0.134390926361084	348.298617377736	0.0288137421074474	2	19
23	1	McFadden	24.5851230621338	-0.474571132659912	NaN	204.465065468476	0.0240725540064369	1	17
23	2	LinearDistrb	24.342571169138	-0.514334306865931	NaN	205.574060727643	0.02551772577829	2	18
23	3	DN	24.5248097479343	-0.467183423787356	0	204.486972719851	0.0249338968617107	2	20
23	4	dDNb	24.3854617700963	-0.516742994780543	0.000334936214130721	205.54155189866	0.026371598998823	1	34
23	5	dDNd	24.1437072753906	-0.509966278076172	0	205.524936871213	0.0259439660760095	2	17
24	1	McFadden	28.9811692237854	0.449881458282471	NaN	358.786888523372	0.0312611288208011	2	17
24	2	LinearDistrb	0.803017497062683	1.60197490751743	NaN	248.635854291963	0.068439506195684	2	24
24	3	DN	1.67347025126219e-10	0.418394901919965	0.558097408016329	320.195299408697	0.0269721547390092	2	17
