subID	TimeConstraint	modeli	name	scl	eta	Mp	wp	nll	nllsd	success	iterations
1	10	1	dDNb	1.69555892944336	0.0491395950317383	1	1	112.237291324877	0.116600145878011	2	16
1	10	2	dDNd	1.66239547729492	0.0426519393920898	1	1	113.174345259879	0.138267547876083	1	32
1	1.5	1	dDNb	2.39044880867004	0.14342246055603	1	1	135.62586811741	0.114480781169836	1	22
1	1.5	2	dDNd	2.10457153320313	0.136405944824219	1	1	134.451275924358	0.113521925798007	1	24
2	10	1	dDNb	2.98353439830244	0.403877113573253	1	1	175.985425058668	0.0835499144717791	2	26
2	10	2	dDNd	2.12934341430664	0.432663154602051	1	1	177.713251400447	0.0788262414736687	2	17
2	1.5	1	dDNb	2.99999961853027	0.366913986206055	1	1	171.351015773222	0.0855092510354867	2	27
2	1.5	2	dDNd	1.55782814025879	0.38904857635498	1	1	173.817429634079	0.0775732941267864	2	19
3	10	1	dDNb	0.325738143920898	0.15577220916748	1	1	82.6948108618273	0.0894972510159162	2	25
3	10	2	dDNd	0.20537109375	0.1609375	1	1	83.4750227749983	0.133513165177743	1	22
3	1.5	1	dDNb	0.20045101493597	0.198001801967621	1	1	97.1315372556933	0.0939039547935819	2	25
3	1.5	2	dDNd	0.200006103515625	0.193392944335937	1	1	97.3345075793919	0.0799175428354298	2	14
4	10	1	dDNb	1.2477345764637	0.0750339359045028	1	1	47.1219931938006	0.0417057122116649	2	18
4	10	2	dDNd	1.10153143179923	0.0750540260800335	1	1	46.6657776880102	0.0321861189090185	2	15
4	1.5	1	dDNb	2.62021869411692	0.103900853497908	1	1	77.5423610215418	0.0860217359270788	2	24
4	1.5	2	dDNd	2.55461488742731	0.00364309822034553	1	1	76.3148573301995	0.0753730939308245	1	27
5	10	1	dDNb	0.787806337390793	5.820732784656e-12	1	1	57.041411761269	0.0509508733716983	2	19
5	10	2	dDNd	0.637335205078125	6.10351562496669e-06	1	1	57.4432354704861	0.0486554120702735	2	14
5	1.5	1	dDNb	0.566606140136719	0.0876426696777343	1	1	87.4417558566793	0.117746916916781	2	14
5	1.5	2	dDNd	0.200006103515625	0.0987548828125	1	1	88.2341847685774	0.0735865847552155	2	17
6	10	1	dDNb	1.51555328369141	0.125435638427734	1	1	96.5050684216344	0.0567890877140915	2	11
6	10	2	dDNd	1.2757327079773	0.129248094558716	1	1	96.2292115855536	0.0762067675631813	2	17
6	1.5	1	dDNb	2.59825672250017	0.233756023554611	1	1	133.851093452459	0.07291001620616	1	22
6	1.5	2	dDNd	2.56401048842818	0.236437114793807	1	1	132.937498192091	0.0728562603550996	2	22
7	10	1	dDNb	0.98569655418396	0.323016213625669	1	1	165.307624614545	0.0704379266016486	2	18
7	10	2	dDNd	1.08251367099583	0.326983192376792	1	1	165.429770712648	0.0838455878221128	2	15
7	1.5	1	dDNb	0.200000023841858	0.213002932071686	1	1	122.638039977003	0.0717962028724806	1	32
7	1.5	2	dDNd	0.200000127402018	0.220376577518618	1	1	122.644294375939	0.0779773378247388	2	18
8	10	1	dDNb	2.10962219238281	0.000605773925781206	1	1	60.5627981077665	0.0466596217495083	2	18
8	10	2	dDNd	1.60959212566377	5.820732784656e-12	1	1	61.1003686628562	0.0351991615612079	2	15
8	1.5	1	dDNb	1.17747192382813	0.145895385742187	1	1	94.891986162993	0.0958685704574899	2	14
8	1.5	2	dDNd	0.8654296875	0.14365234375	1	1	95.5589942124048	0.991190640313788	2	12
9	10	1	dDNb	1.218798828125	0.13328857421875	1	1	91.3851074614866	0.114743986713405	2	13
9	10	2	dDNd	0.24606296531856	0.146904648467898	1	1	91.9227370369893	0.126298063151896	1	34
9	1.5	1	dDNb	2.99999389648438	0.0809112548828125	1	1	95.5748845101385	0.10209531986757	2	21
9	1.5	2	dDNd	2.99057922363281	0.0675628662109375	1	1	99.481617254974	1.38253236853623	1	34
10	10	1	dDNb	0.211448564613238	0.525005678273737	1	1	181.269224694712	0.0697096766539265	2	15
10	10	2	dDNd	0.200000000093132	0.521517211198807	1	1	181.229791136092	0.0657147907408486	2	21
10	1.5	1	dDNb	0.200000000372529	0.47555246129632	1	1	172.95389611345	0.0729039450184384	1	31
10	1.5	2	dDNd	2.4572281613946	0.424157997220755	1	1	172.786746335419	0.0878212001989952	2	22
11	10	1	dDNb	0.200000095367431	1.02947397232056	1	1	186.624761473461	0.0739702771702871	2	12
11	10	2	dDNd	2.96703075007008	1.36758766940052	1	1	178.658136168216	0.0727860337312829	1	26
11	1.5	1	dDNb	0.201174959980926	0.930904316784472	1	1	184.925684757253	0.0655857182423888	1	23
11	1.5	2	dDNd	2.99999847412109	1.07364501953125	1	1	179.160128789967	0.0641706229992448	2	20
12	10	1	dDNb	2.99999928600155	0.386891777161509	1	1	178.721899555468	0.0815489733930014	1	33
12	10	2	dDNd	2.98749847412109	0.400171661376953	1	1	179.401371449422	0.0774061337589834	2	15
12	1.5	1	dDNb	2.99994113615248	0.59683056815993	1	1	185.050693873509	0.0834725963577637	1	25
12	1.5	2	dDNd	2.44904174804688	0.631280517578125	1	1	186.188711361865	0.0652002868813174	1	26
13	10	1	dDNb	1.182763671875	1.1585693359375	1	1	190.345438629645	0.0606967857068648	2	13
13	10	2	dDNd	1.697412109375	1.16173706054688	1	1	190.255185875451	0.0651465685458446	2	17
13	1.5	1	dDNb	1.28745971284807	0.679213002230972	1	1	160.448432209556	0.0736496555883549	2	13
13	1.5	2	dDNd	1.7502760887146	0.678479957580566	1	1	160.487816032662	0.0750964465861903	2	21
14	10	1	dDNb	0.821875	0.130615234375	1	1	99.2681581565204	0.138584503771878	2	18
14	10	2	dDNd	0.284767532348633	0.139391136169434	1	1	99.9205866037664	0.173313898789643	2	18
14	1.5	1	dDNb	1.81823793053627	0.0703858107328415	1	1	81.9174414983636	0.0622548051444571	2	21
14	1.5	2	dDNd	1.85942649841309	0.0496391296386718	1	1	81.4640432812435	0.078902134856449	1	23
15	10	1	dDNb	0.97211383394897	0.357578869536519	1	1	163.986780519065	0.0586374688223504	2	14
15	10	2	dDNd	1.14612789154053	0.343754577636719	1	1	163.630461251479	0.0939109861037729	2	13
15	1.5	1	dDNb	0.200000000023283	0.338681276130956	1	1	157.88255834271	0.0564156864512954	2	17
15	1.5	2	dDNd	1.1801244020462	0.304496264457703	1	1	157.616369973398	0.0590234461437954	2	22
16	10	1	dDNb	0.200000381469726	0.231312370300293	1	1	160.95344268363	0.07951256922458	1	20
16	10	2	dDNd	0.200097656343132	0.2388898414094	1	1	160.881305353057	0.0954906090166899	1	27
16	1.5	1	dDNb	1.32630173455573	0.397224731282631	1	1	174.745157896026	0.0923579448374893	2	19
16	1.5	2	dDNd	0.921647453308105	0.396796369552612	1	1	174.998385596509	0.084459439990067	2	11
17	10	1	dDNb	0.200001525878906	0.230043792724609	1	1	127.774465950513	0.077012344750343	2	19
17	10	2	dDNd	0.200000000372529	0.230934691801667	1	1	127.809472046069	0.0901703330727396	1	25
17	1.5	1	dDNb	0.200001525878906	0.233202362060547	1	1	118.283112992	0.0549158203980826	2	19
17	1.5	2	dDNd	0.200000956095755	0.229934940719977	1	1	118.313071781619	0.0808051260409712	2	14
18	10	1	dDNb	0.517236328125	0.1995361328125	1	1	93.0135494495042	0.0738298870061166	2	12
18	10	2	dDNd	0.747348022460937	0.202079010009766	1	1	92.7885340994245	0.0702245758296555	2	17
18	1.5	1	dDNb	0.200000005960464	0.366208010911942	1	1	143.111464016227	0.0688449984935856	2	17
18	1.5	2	dDNd	2.54657311439514	0.32717570066452	1	1	141.928029011626	0.0693863724201001	2	20
19	10	1	dDNb	1.30587561130524	0.00239291191101071	1	1	96.1327673310379	0.0402195168061796	2	19
19	10	2	dDNd	1.02741605639458	1.49011608607807e-09	1	1	97.2399843127189	0.0488393663470139	2	12
