subID,V1,V2,V3,sdV1,sdV2,sdV3,ID1,ID2,ID3,chosenItem,RT,larger,smaller,distractor
1,4.155,4.54,1.5,0.219203102167829,0.0565685424949239,0.707106781186548,23,30,10,2,5.65775983,1,0,0
1,2.515,3.25,1.645,0.0212132034355963,1.06066017177982,0.502045814642449,15,13,21,2,2.546320865,1,0,0
1,3.56,4.54,2.305,0.0424264068711929,0.0565685424949239,0.417193000900063,17,30,9,2,2.313440324,1,0,0
1,3.4,4,0.735,0.848528137423857,0.0141421356237306,0.0494974746830584,8,5,1,1,3.609076254,0,1,0
1,3.765,4.05,1.285,0.332340187157677,0.0565685424949239,0.403050865276332,16,3,22,2,6.481084209,1,0,0
1,2.515,3.4,1.285,0.0212132034355963,0.848528137423857,0.403050865276332,15,8,22,2,2.420078907,1,0,0
1,3.765,4.54,1.38,0.332340187157677,0.0565685424949239,0.919238815542512,16,30,18,2,1.900616068,1,0,0
1,3.56,3.765,0.88,0.0424264068711929,0.332340187157677,0.240416305603426,17,16,7,1,3.074722847,0,1,0
1,3.4,4.54,1.645,0.848528137423857,0.0565685424949239,0.502045814642449,8,30,21,2,1.934311462,1,0,0
1,3.4,3.765,1.645,0.848528137423857,0.332340187157677,0.502045814642449,8,16,21,1,2.969668563,0,1,0
1,3.25,3.765,1.38,1.06066017177982,0.332340187157677,0.919238815542512,13,16,18,2,3.174179187,1,0,0
1,3.765,4.155,0.72,0.332340187157677,0.219203102167829,0.014142135623731,16,23,26,2,2.285236896,1,0,0
1,4,4.155,0.445,0.0141421356237306,0.219203102167829,0.346482322781408,5,23,14,2,3.439043463,1,0,0
1,3.25,4.54,1.5,1.06066017177982,0.0565685424949239,0.707106781186548,13,30,10,2,2.085119171,1,0,0
1,2.515,3.56,1.285,0.0212132034355963,0.0424264068711929,0.403050865276332,15,17,22,2,2.489159091,1,0,0
1,4,4.05,0.71,0.0141421356237306,0.0565685424949239,0,5,3,24,2,2.803630631,1,0,0
1,2.515,4.155,1.285,0.728319984622144,0.219203102167829,0.403050865276332,4,23,22,2,4.559555542,1,0,0
1,3.25,4.05,1.645,1.06066017177982,0.0565685424949239,0.502045814642449,13,3,21,2,2.45026303,1,0,0
1,3.25,4.05,1.38,1.06066017177982,0.0565685424949239,0.919238815542512,13,3,18,2,1.734046429,1,0,0
1,3.4,4.05,1.38,0.848528137423857,0.0565685424949239,0.919238815542512,8,3,18,2,2.968347386,1,0,0
1,3.4,4.155,0.445,0.848528137423857,0.219203102167829,0.346482322781408,8,23,14,2,1.851956558,1,0,0
1,2.515,3.56,0.72,0.0212132034355963,0.0424264068711929,0.014142135623731,15,17,26,2,1.468707037,1,0,0
1,2.515,4.155,0.445,0.728319984622144,0.219203102167829,0.346482322781408,4,23,14,2,1.129960157,1,0,0
1,2.515,4.155,0.72,0.728319984622144,0.219203102167829,0.014142135623731,4,23,26,2,2.16782006,1,0,0
1,2.515,4.155,2.305,0.728319984622144,0.219203102167829,0.417193000900063,4,23,9,2,1.597710091,1,0,0
1,2.515,4.54,1.38,0.0212132034355963,0.0565685424949239,0.919238815542512,15,30,18,2,2.331396956,1,0,0
1,4,4.05,1.5,0.0141421356237306,0.0565685424949239,0.707106781186548,5,3,10,2,1.786821796,1,0,0
1,2.515,3.4,1.645,0.0212132034355963,0.848528137423857,0.502045814642449,15,8,21,2,1.630670912,1,0,0
1,2.515,3.25,1.5,0.728319984622144,1.06066017177982,0.707106781186548,4,13,10,1,3.408313591,0,1,0
1,2.515,4.54,0.735,0.728319984622144,0.0565685424949239,0.0494974746830584,4,30,1,2,1.381997148,1,0,0
1,2.515,3.56,0.71,0.728319984622144,0.0424264068711929,0,4,17,24,1,5.161542129,0,1,0
1,3.765,4.54,0.445,0.332340187157677,0.0565685424949239,0.346482322781408,16,30,14,2,1.232828599,1,0,0
1,2.515,4.54,0.72,0.728319984622144,0.0565685424949239,0.014142135623731,4,30,26,2,1.72026386,1,0,0
1,2.515,4.155,1.285,0.0212132034355963,0.219203102167829,0.403050865276332,15,23,22,2,2.939191281,1,0,0
1,3.25,3.4,0.72,1.06066017177982,0.848528137423857,0.014142135623731,13,8,26,2,1.971292478,1,0,0
1,4,4.05,0.445,0.0141421356237306,0.0565685424949239,0.346482322781408,5,3,14,2,1.75168637,1,0,0
1,3.25,3.4,1.38,1.06066017177982,0.848528137423857,0.919238815542512,13,8,18,2,1.583955656,1,0,0
1,3.4,4,0.71,0.848528137423857,0.0141421356237306,0,8,5,24,1,3.322943377,0,1,0
1,2.515,4.155,1.645,0.0212132034355963,0.219203102167829,0.502045814642449,15,23,21,2,3.237345679,1,0,0
