subID,subCode,V1,V2,V3,sdV1,sdV2,sdV3,ID1,ID2,ID3,chosenItem,RT,larger,smaller,distractor
1,S01EL,1,1,0,0,0,0,11,17,19,2,1.941334374,NaN,NaN,NaN
1,S01EL,0.5,0.5,0,0,0,0,21,24,19,1,5.558452237,NaN,NaN,NaN
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,25,7,2,2.762308371,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,11,29,2,12.288653898,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,11,23,2,1.540288008,1,0,0
1,S01EL,0.25,0.495,0,0.353553390593274,0.00707106781186548,0,12,30,9,1,3.181089179,0,1,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,22,29,1,3.214457386,0,1,0
1,S01EL,0.5,0.75,0.1,0,0.353553390593274,0.14142135623731,21,25,6,2,2.444326016,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,4,1,2,2.477832808,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,22,23,1,2.477800561,0,1,0
1,S01EL,0.5,0.5,0,0,0,0,15,24,7,1,2.729032538,NaN,NaN,NaN
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,21,19,1,7.316247521,0,1,0
1,S01EL,0.5,1,0,0,0,0,24,11,29,2,3.197700204,1,0,0
1,S01EL,0.5,0.5,0,0,0,0,21,24,27,1,3.532561396,NaN,NaN,NaN
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,24,25,19,2,3.09727143,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,22,7,2,2.762409306,1,0,0
1,S01EL,0.25,0.75,0.1,0.353553390593274,0.353553390593274,0.14142135623731,12,22,6,2,2.779272803,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,17,23,2,2.879637198,1,0,0
1,S01EL,1,1,0,0,0,0,11,17,9,2,2.544902853,NaN,NaN,NaN
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,11,7,2,2.913113861,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,24,13,2,3.18109949,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,25,9,2,1.674160999,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,4,19,2,2.059276952,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,4,16,2,1.757893568,1,0,0
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,25,23,2,2.661991516,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,24,25,27,2,1.423043513,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,24,16,2,1.85828105,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,22,1,2,4.26921499,1,0,0
1,S01EL,1,1,0,0,0,0,4,17,9,2,1.590578816,NaN,NaN,NaN
1,S01EL,0.75,0.75,0,0.353553390593274,0.353553390593274,0,22,25,7,2,2.209946628,NaN,NaN,NaN
1,S01EL,0.5,1,0,0,0,0,15,4,16,1,4.989098319,0,1,0
1,S01EL,0.5,1,0,0,0,0,21,17,9,2,1.640602353,1,0,0
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,22,19,2,1.406240093,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,17,29,2,1.255642615,1,0,0
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,22,9,2,1.557100724,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,21,23,2,3.31491349,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,22,9,1,1.875103259,0,1,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,4,9,2,1.573864296,1,0,0
1,S01EL,0.25,0.5,0.1,0.353553390593274,0,0.14142135623731,12,15,6,2,2.862875481,1,0,0
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,22,13,2,2.025813078,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,22,19,2,3.967860729,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,24,13,2,2.042409303,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,22,16,2,2.243455183,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,4,7,2,2.276930045,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,11,23,2,2.327137158,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,4,7,2,3.3818966,1,0,0
1,S01EL,0.5,1,0.1,0,0,0.14142135623731,15,17,6,2,1.674115701,1,0,0
1,S01EL,1,1,0,0,0,0,4,11,7,2,2.477719238,NaN,NaN,NaN
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,24,22,1,2,2.12632915,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,21,16,2,3.967801077,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,4,1,2,3.6498418,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,4,9,1,6.495949572,0,1,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,25,29,2,2.394024724,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,24,25,9,1,2.092666439,0,1,0
1,S01EL,0.5,0.5,0,0,0,0,15,24,1,1,1.557136543,NaN,NaN,NaN
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,11,1,2,2.176441124,1,0,0
1,S01EL,0.495,0.5,0.1,0.00707106781186548,0,0.14142135623731,30,24,6,2,2.260148943,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,17,23,2,1.925314598,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,22,27,2,1.640853943,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,24,29,2,10.04522898,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,11,9,2,1.573755757,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,4,19,2,3.482427334,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,15,13,2,3.298191349,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,4,7,2,1.473394477,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,25,29,1,1.84163076,0,1,0
1,S01EL,0.495,0.75,0.1,0.00707106781186548,0.353553390593274,0.14142135623731,30,22,6,2,1.691035514,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,24,25,16,2,3.58287839,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,17,16,2,1.657453884,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,4,23,2,2.142968896,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,17,1,2,1.556901072,1,0,0
1,S01EL,1,1,0,0,0,0,4,11,13,2,2.829515148,NaN,NaN,NaN
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,15,29,2,2.092733088,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,4,29,2,1.272377906,1,0,0
1,S01EL,0.25,1,0.1,0.353553390593274,0,0.14142135623731,12,11,6,2,1.808137261,1,0,0
1,S01EL,1,1,0,0,0,0,4,17,13,2,2.544725518,NaN,NaN,NaN
1,S01EL,0.5,1,0,0,0,0,24,17,27,2,1.20543162,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,15,19,2,1.623975284,1,0,0
1,S01EL,0.75,1,0.1,0.353553390593274,0,0.14142135623731,22,11,6,2,2.511301194,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,17,7,2,1.356087871,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,4,29,2,2.09280423,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,11,23,2,7.533785396,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,4,13,2,4.419882657,1,0,0
1,S01EL,1,1,0,0,0,0,4,17,19,2,1.071464601,NaN,NaN,NaN
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,4,27,2,1.607214701,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,4,7,1,1.356089911,0,1,0
1,S01EL,0.5,1,0,0,0,0,15,11,9,2,1.707578997,1,0,0
1,S01EL,0.25,0.5,0.1,0.353553390593274,0,0.14142135623731,12,24,6,2,2.427592293,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,11,9,2,1.289096316,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,4,16,2,2.176558339,1,0,0
1,S01EL,0.75,0.75,0,0.353553390593274,0.353553390593274,0,22,25,19,1,1.891838478,NaN,NaN,NaN
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,22,9,2,1.757934776,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,11,13,2,2.142973971,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,17,19,2,1.824841782,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,17,27,2,1.590503258,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,17,9,2,1.590596869,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,11,29,2,1.724414719,1,0,0
1,S01EL,0.5,0.5,0,0,0,0,15,24,16,1,1.707684249,NaN,NaN,NaN
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,24,22,23,2,2.444250927,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,4,13,2,1.490142197,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,11,16,2,2.310374686,1,0,0
1,S01EL,0.5,0.5,0,0,0,0,15,24,13,1,2.410831769,NaN,NaN,NaN
1,S01EL,0.5,0.5,0,0,0,0,15,21,13,1,1.874989429,NaN,NaN,NaN
1,S01EL,0.495,1,0.1,0.00707106781186548,0,0.14142135623731,30,11,6,2,1.57375073,1,0,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,24,27,2,2.092731886,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,17,9,2,1.155269274,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,17,27,2,1.05471502,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,4,16,2,1.289116291,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,15,29,2,1.757880315,1,0,0
1,S01EL,0.75,1,0.1,0.353553390593274,0,0.14142135623731,25,11,6,2,1.891855223,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,11,19,2,1.724424907,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,11,23,2,1.573700239,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,11,16,2,2.00903269,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,22,19,2,2.260057338,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,11,13,2,3.515721532,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,11,23,2,1.573736896,1,0,0
1,S01EL,0.495,0.75,0,0.00707106781186548,0.353553390593274,0,30,22,13,2,3.247955285,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,22,7,1,4.888546612,0,1,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,25,13,1,2.075985975,0,1,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,15,22,9,1,1.138475465,0,1,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,4,23,2,2.427590296,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,11,19,2,1.623963522,1,0,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,22,29,2,5.976901753,1,0,0
1,S01EL,0.75,1,0.1,0.353553390593274,0,0.14142135623731,22,4,6,2,3.298070182,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,4,1,2,1.975405994,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,17,16,2,1.423061383,1,0,0
1,S01EL,1,1,0,0,0,0,4,11,16,2,2.059197784,NaN,NaN,NaN
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,11,13,2,1.088290989,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,11,19,2,1.473277896,1,0,0
1,S01EL,0.5,1,0,0,0,0,15,17,19,2,1.289085365,1,0,0
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,25,27,2,8.237066959,1,0,0
1,S01EL,0.5,0.75,0.1,0,0.353553390593274,0.14142135623731,15,25,6,1,1.623951063,0,1,0
1,S01EL,0.5,0.75,0,0,0.353553390593274,0,21,25,9,2,1.774622479,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,22,17,1,2,1.356107084,1,0,0
1,S01EL,0.75,1,0,0.353553390593274,0,0,25,11,29,2,1.38954923,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,4,9,2,1.054938717,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,4,23,2,1.071476479,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,11,29,2,1.372983183,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,11,1,2,1.00449068,1,0,0
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,25,1,2,2.009032545,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,24,19,2,1.607254495,1,0,0
1,S01EL,0.495,1,0,0.00707106781186548,0,0,30,11,27,2,1.004642208,1,0,0
1,S01EL,0.5,1,0,0,0,0,24,11,23,2,1.071470544,1,0,0
1,S01EL,0.25,1,0,0.353553390593274,0,0,12,17,29,2,1.305907828,1,0,0
1,S01EL,1,1,0,0,0,0,11,17,13,2,1.741188087,NaN,NaN,NaN
1,S01EL,0.75,0.75,0,0.353553390593274,0.353553390593274,0,22,25,29,1,8.923415481,NaN,NaN,NaN
1,S01EL,0.25,0.75,0,0.353553390593274,0.353553390593274,0,12,25,19,2,2.226763237,1,0,0
1,S01EL,1,1,0,0,0,0,11,17,1,2,1.741177589,NaN,NaN,NaN
1,S01EL,1,1,0,0,0,0,11,17,29,2,1.406315922,NaN,NaN,NaN
1,S01EL,0.5,1,0,0,0,0,15,17,1,2,1.724421798,1,0,0
1,S01EL,0.495,0.5,0.1,0.00707106781186548,0,0.14142135623731,30,21,6,2,4.018013782,1,0,0
1,S01EL,0.25,0.5,0,0.353553390593274,0,0,12,15,27,2,2.343871769,1,0,0
1,S01EL,0.5,1,0,0,0,0,21,11,13,2,1.540223903,1,0,0
1,S01EL,0.75,0.75,0,0.353553390593274,0.353553390593274,0,22,25,23,1,1.590393394,NaN,NaN,NaN
1,S01EL,0.25,0.495,0,0.353553390593274,0.00707106781186548,0,12,30,23,1,2.276905214,0,1,0
1,S01EL,0.5,0.5,0,0,0,0,15,21,23,1,2.09274134,NaN,NaN,NaN
1,S01EL,0.495,1,0.1,0.00707106781186548,0,0.14142135623731,30,17,6,2,1.423100891,1,0,0
1,S01EL,0.25,0.495,0,0.353553390593274,0.00707106781186548,0,12,30,1,1,2.712209126,0,1,0
1,S01EL,0.495,0.5,0,0.00707106781186548,0,0,30,24,7,2,1.908615029,1,0,0
