subID	modeli	name	Mp	wp	scl	nll	nllsd	success	iterations
25	1	McFadden	0.671756773329861	NaN	NaN	165.124507509655	0.0271727190571079	1	20
25	2	LinearDistrb	0.648429076187313	NaN	1.86264559332017e-10	165.028520932195	0.0217803459910449	1	19
25	3	DN	0.660535335540771	0	NaN	165.028932955374	0.0201723378506721	2	22
25	4	dDNb	0.648969650268555	0	7.62939453169409e-07	165.041581130419	0.0237907613669631	2	19
25	5	dDNd	0.640850067138672	0	0.204292392730713	165.054153573338	0.0262936618049594	2	19
26	1	McFadden	3.6103515625	NaN	NaN	228.046023105086	0.0221319313558467	2	13
26	2	LinearDistrb	1.37319656586648	NaN	0.283176353695919	205.142740385483	0.0239721242282447	1	19
26	3	DN	1.66893005371094e-05	0.127992248535156	NaN	203.167924125711	0.0324512662411463	2	18
26	4	dDNb	0.000158309936523438	0.129714584350586	7.62939453169409e-07	203.216454734612	0.0359599141779618	2	23
26	5	dDNd	4.88758087158203e-06	0.127815508842468	1.19209289550781e-07	203.162462665563	0.0254959764816611	2	19
27	1	McFadden	0.155084802827332	NaN	NaN	88.9272998355488	0.0285033399236499	1	21
27	2	LinearDistrb	0.163673348724842	NaN	1.86264514923096e-09	88.8870206043027	0.0282491132919125	1	19
27	3	DN	9.31322574615479e-08	0.0187246233224869	NaN	87.0125370186013	0.0223112810535186	1	19
27	4	dDNb	4.88758087158203e-06	0.018710708618164	1.19209289550781e-07	87.0214122945788	0.032052824056253	2	18
27	5	dDNd	9.31322574615479e-10	0.0181439927779138	0.0206891305744648	86.9556670774916	0.0293906180678302	2	26
28	1	McFadden	0.398859355133027	NaN	NaN	127.385342393374	0.0163370186668469	2	22
28	2	LinearDistrb	0.299573838710785	NaN	0.790112698078156	126.346542193324	0.0195424012060471	2	21
28	3	DN	0.00072479248046875	0.036444091796875	NaN	126.269704718687	0.0166635180203277	1	24
28	4	dDNb	9.00611460963319e-07	0.0310648953925152	0.464025261010637	125.739222283228	0.0260779833744037	1	27
28	5	dDNd	0.00072479248046875	0.0314987182617188	0.431509399414063	125.736414702802	0.0159235504138933	2	16
29	1	McFadden	0.54722747883352	NaN	NaN	126.042486056218	0.0235935233059888	1	21
29	2	LinearDistrb	0.53887140750885	NaN	1.19209289550781e-07	126.031952663052	0.023404913206389	2	11
29	3	DN	0.375662222271785	0.0172460044268519	NaN	125.907502268183	0.023504144405417	1	19
29	4	dDNb	0.544548204663442	0	2.67982832169444e-06	126.046801363895	0.026630742140397	1	22
29	5	dDNd	0.293549060821533	0.0261307716369629	0.0394923210144043	125.974881378669	0.0240739393091032	2	15
30	1	McFadden	0.579182886052422	NaN	NaN	104.360101061664	0.0188329851241719	1	23
30	2	LinearDistrb	0.574262958944018	NaN	0.0263316814041901	104.323526712495	0.0220364528164605	1	24
30	3	DN	1.86431342399374e-05	0.0673918939710575	NaN	103.04895959156	0.0250977182429294	1	22
30	4	dDNb	1.66893005371094e-05	0.06777925491333	0.0914525032043458	103.042763983055	0.0220478572181101	2	15
30	5	dDNd	4.88758087158203e-06	0.0680359363555908	0.10941321849823	103.031678892473	0.0185691527630665	2	19
31	1	McFadden	0.315861344406493	NaN	NaN	143.785091367364	0.0161083605726712	1	21
31	2	LinearDistrb	0.235425591468811	NaN	1.42876930236816	142.091892478666	0.0232592878015076	2	14
31	3	DN	0.0710289273411036	0.027404997125268	NaN	143.677191403567	0.0189880619021869	1	21
31	4	dDNb	9.31322574615479e-10	0.0246242864988744	1.16849568812177	141.871711589801	0.0289101962866842	1	20
31	5	dDNd	0.0126163399872894	0.0236592329361883	1.15579398723676	141.889705957057	0.0212633981308415	2	25
32	1	McFadden	4.75559043884277	NaN	NaN	249.920877053305	0.0303159859430517	2	14
32	2	LinearDistrb	0.637082480505342	NaN	1.34690916495747	199.127836887976	0.0283871880787244	1	23
32	3	DN	0.705228447914124	0	NaN	199.999187996396	0.0288716094168425	2	17
32	4	dDNb	0.0333887616779975	0.0627993072801474	1.62494421759511	198.472252955499	0.0252421416332105	1	29
32	5	dDNd	1.9371509552002e-06	0.0651921629905701	1.69959462881088	198.450978868461	0.026254057330724	2	18
33	1	McFadden	1.29347336292267	NaN	NaN	223.302994085676	0.0323050471579616	2	16
33	2	LinearDistrb	1.0835698209703	NaN	2.32468182705343	221.579920248391	0.0244673741429177	2	11
33	3	DN	1.27194518223405	0	NaN	223.282871163394	0.0329152597213382	2	11
33	4	dDNb	1.09690471486647	4.19868229073472e-09	2.09591277004438	221.688623627975	0.0270057086787861	1	23
