subID	Model	randi	Mp0	wp0	scl0	Mp	wp	scl	nll	nllsd	success	iterations
1	2	32	56.948958	NaN	0.337972	0.513293	NaN	0.032586	104.275244	0.033265	1	27
1	2	3	54.93925	NaN	0.623668	0.508208	NaN	0	104.343609	0.036343	1	23
1	2	21	34.791578	NaN	1.032693	0.350048	NaN	0.754248	99.125167	0.035777	2	38
1	2	18	33.159227	NaN	0.918429	0.313306	NaN	0.864741	99.292808	0.030746	2	22
1	2	28	28.022097	NaN	1.578713	0.317435	NaN	0.615187	99.6658	0.06071	1	23
1	2	8	50.582071	NaN	0.926482	0.324581	NaN	0.752545	98.979613	0.037515	1	30
1	2	25	57.494889	NaN	1.675973	0.330126	NaN	0.791761	99.059327	0.03046	1	31
1	2	26	24.071518	NaN	1.640633	0.389461	NaN	0.535128	100.056843	0.032357	1	29
1	2	39	28.70306	NaN	0.582283	0.323463	NaN	0.777175	99.048394	0.033271	1	27
1	2	38	45.11893	NaN	1.827401	0.343647	NaN	0.730573	99.041958	0.033586	1	28
1	2	16	14.067018	NaN	1.740373	0.334613	NaN	0.737575	99.072101	0.043225	1	28
1	2	11	30.704131	NaN	1.294393	0.323049	NaN	0.801627	99.00693	0.035561	1	29
1	2	14	9.248572	NaN	1.7466	0.363221	NaN	0.56778	99.731969	0.043549	1	30
1	3	4	9.635243	0.318338	NaN	0.002991	0.07417	NaN	111.390061	0.038793	2	13
1	3	22	49.112728	0.966172	NaN	0.000158	0.068306	NaN	111.304533	0.042895	2	15
1	3	33	76.091811	0.098737	NaN	0.000725	0.067409	NaN	111.295227	0.057148	2	16
1	3	19	22.754948	0.868315	NaN	0.531708	0	NaN	104.359642	0.040385	2	14
1	3	3	23.952942	0.321864	NaN	0.000725	0.080301	NaN	112.045603	0.027627	2	14
1	3	2	24.664675	0.323359	NaN	0.688812	0	NaN	107.801031	0.021402	2	14
1	3	32	91.594938	0.776298	NaN	0.54908	0	NaN	104.52563	0.032035	2	15
1	3	18	96.566293	1.075461	NaN	0.562298	0	NaN	104.691452	0.025471	2	16
1	3	11	9.902634	1.210118	NaN	0.000725	0.074608	NaN	111.498929	0.038124	2	14
1	3	30	1.420062	1.179981	NaN	0.000725	0.072514	NaN	111.222544	0.038098	2	18
1	3	5	11.575547	0.606388	NaN	0.566452	0	NaN	104.742497	0.034031	2	14
1	3	29	70.032241	0.534606	NaN	0.520988	0	NaN	104.355369	0.037733	1	18
1	3	20	52.462244	1.006057	NaN	0.529442	0	NaN	104.350129	0.04013	2	14
1	3	23	98.35612	0.463741	NaN	0.514958	0.008433	NaN	105.671491	0.028733	2	18
1	3	7	8.625356	0.511707	NaN	0.548691	0	NaN	104.520454	0.035108	1	18
1	3	21	27.391537	1.111187	NaN	0.539072	0	NaN	104.500961	0.029659	2	16
1	3	36	65.987412	1.206386	NaN	0.537986	0	NaN	104.406658	0.034389	2	16
1	3	14	66.010653	0.742299	NaN	0.54908	0	NaN	104.48654	0.031283	2	14
1	3	38	8.270632	1.280023	NaN	0.812683	0	NaN	112.486058	0.013245	1	24
1	3	8	22.280372	0.561872	NaN	0.515042	0	NaN	104.393087	0.034817	2	18
1	3	34	25.446157	0.566894	NaN	0.507069	0.000742	NaN	104.528779	0.046731	1	19
1	3	37	28.186289	1.383372	NaN	0.675217	0	NaN	107.375141	0.018834	1	19
1	3	15	67.166952	0.362753	NaN	0.139822	0.055382	NaN	109.612992	0.032708	1	18
1	3	27	10.676976	0.523703	NaN	0.557687	0	NaN	104.607784	0.030195	2	19
1	3	1	27.64746	1.009909	NaN	0.52997	0	NaN	104.390353	0.024874	1	18
1	3	26	85.327115	0.948768	NaN	0.521727	0	NaN	104.391133	0.025681	1	18
1	3	9	47.057164	1.124355	NaN	0.514173	0	NaN	104.351007	0.033482	2	17
1	3	25	56.509712	0.896132	NaN	0.130683	0.055789	NaN	109.623988	0.032045	1	20
1	3	10	51.63373	0.646487	NaN	0.121858	0.055649	NaN	109.657385	0.033177	1	21
1	3	39	36.458727	0.409641	NaN	0.522113	0	NaN	104.377664	0.0411	1	22
1	3	24	60.542917	1.197182	NaN	0.547093	0	NaN	104.49718	0.02646	1	19
1	3	31	59.907917	0.056813	NaN	0.503821	0.00001	NaN	104.382353	0.042873	1	18
1	3	35	4.968045	1.036355	NaN	0.106715	0.061695	NaN	110.215629	0.029899	1	26
1	3	28	65.631579	0.338954	NaN	0.508594	0	NaN	104.337712	0.036037	1	28
1	3	16	88.647759	0.719668	NaN	0.504038	0	NaN	104.437718	0.045258	1	23
1	3	12	14.896679	0.802025	NaN	0.100712	0.061178	NaN	110.152671	0.040541	1	22
1	3	6	28.499896	0.0552	NaN	0.516214	0	NaN	104.32274	0.036382	1	23
1	3	17	99.459083	0.808409	NaN	0.515592	0	NaN	104.38625	0.032483	1	30
1	3	40	28.27762	0.844497	NaN	0.128223	0.057222	NaN	109.794103	0.038072	1	32
1	3	13	57.354741	0.308548	NaN	0.176699	0.050929	NaN	109.241875	0.03339	1	26
1	4	2	38.900061	0.108439	1.714465	0.033203	0.0875	0.000488	114.073972	0.030525	2	13
1	4	24	38.789439	1.202743	0.823981	0.009033	0.064258	0.720313	106.512911	0.019248	2	16
1	4	19	46.085102	0.68677	1.449523	0.311157	0	1.100165	101.016334	0.02492	2	16
1	4	25	63.837849	0.603619	1.952139	0.456177	0	0.655493	100.808013	0.019165	2	16
1	4	23	27.664418	0.05125	1.000101	0.000725	0.055008	0.778142	104.137421	0.024477	2	16
1	4	38	89.789241	1.253573	1.942382	0.37465	0	0.729998	99.340967	0.024575	2	18
1	4	35	29.17738	0.628592	0.549669	0.297008	0.001381	0.743057	99.097856	0.0394	2	21
1	4	8	36.24474	0.836387	0.631641	0.301338	0	0.755428	99.108536	0.040248	2	16
1	4	22	45.663869	0.950346	1.88534	0.342125	0	0.722647	99.070015	0.041703	2	16
1	4	14	98.408973	0.222261	1.227081	0.274902	0	1.44758	105.463022	0.015781	2	19
1	4	10	87.845216	1.339795	0.398527	0.721338	0.00017	0.063311	108.967924	0.024949	2	18
1	4	31	97.477804	1.385758	1.449277	0.000017	0.035841	0.755458	100.438617	0.025033	2	18
1	4	5	64.453788	1.121467	1.941155	0.000005	0.03124	0.724872	100.2578	0.04291	2	18
