subID	Model	randi	Mp0	wp0	scl0	Mp	wp	scl	nll	nllsd	success	iterations
25.000000	1.000000	14.000000	3.457280	NaN	NaN	0.867065	NaN	NaN	169.103182	0.018835	2.000000	9.000000
25.000000	1.000000	28.000000	15.136942	NaN	NaN	11.538086	NaN	NaN	258.671793	0.029347	2.000000	12.000000
25.000000	1.000000	24.000000	37.761855	NaN	NaN	5.652710	NaN	NaN	243.852645	0.024620	2.000000	13.000000
25.000000	1.000000	11.000000	1.048702	NaN	NaN	4.395874	NaN	NaN	236.320304	0.028976	2.000000	10.000000
25.000000	1.000000	34.000000	45.848155	NaN	NaN	7.096863	NaN	NaN	249.544757	0.022058	2.000000	13.000000
25.000000	1.000000	8.000000	81.434650	NaN	NaN	9.024414	NaN	NaN	254.495571	0.022125	2.000000	11.000000
25.000000	1.000000	7.000000	86.225074	NaN	NaN	7.676941	NaN	NaN	251.283721	0.026731	2.000000	13.000000
25.000000	1.000000	3.000000	97.327097	NaN	NaN	11.317535	NaN	NaN	258.382006	0.029305	2.000000	13.000000
25.000000	1.000000	39.000000	23.252985	NaN	NaN	10.341675	NaN	NaN	256.961489	0.030730	2.000000	10.000000
25.000000	1.000000	36.000000	37.699981	NaN	NaN	8.290253	NaN	NaN	252.879452	0.029685	2.000000	13.000000
25.000000	1.000000	30.000000	16.186423	NaN	NaN	11.340431	NaN	NaN	258.412098	0.028580	2.000000	13.000000
25.000000	1.000000	4.000000	33.087689	NaN	NaN	4.697432	NaN	NaN	238.426870	0.029307	2.000000	14.000000
25.000000	1.000000	20.000000	15.320793	NaN	NaN	9.982714	NaN	NaN	256.350373	0.024019	2.000000	14.000000
25.000000	1.000000	38.000000	15.564517	NaN	NaN	7.487169	NaN	NaN	250.738666	0.023593	2.000000	14.000000
25.000000	1.000000	13.000000	62.011799	NaN	NaN	9.211731	NaN	NaN	254.902586	0.025492	2.000000	13.000000
25.000000	1.000000	40.000000	43.672536	NaN	NaN	8.513069	NaN	NaN	253.488973	0.027800	2.000000	12.000000
25.000000	1.000000	26.000000	12.023204	NaN	NaN	6.599869	NaN	NaN	247.895732	0.020917	2.000000	12.000000
25.000000	1.000000	21.000000	6.163209	NaN	NaN	10.566946	NaN	NaN	257.325456	0.027988	2.000000	14.000000
25.000000	1.000000	25.000000	80.065757	NaN	NaN	4.757668	NaN	NaN	238.880758	0.019897	2.000000	14.000000
25.000000	1.000000	18.000000	61.581261	NaN	NaN	8.771574	NaN	NaN	254.031145	0.028385	2.000000	14.000000
25.000000	1.000000	6.000000	86.681705	NaN	NaN	16.715736	NaN	NaN	263.451919	0.027357	2.000000	12.000000
25.000000	1.000000	19.000000	42.034630	NaN	NaN	10.559204	NaN	NaN	257.293573	0.025040	2.000000	13.000000
25.000000	1.000000	10.000000	31.289195	NaN	NaN	7.991150	NaN	NaN	252.155146	0.031384	2.000000	13.000000
25.000000	1.000000	23.000000	5.144580	NaN	NaN	10.039551	NaN	NaN	256.455323	0.027834	2.000000	10.000000
25.000000	1.000000	16.000000	61.457379	NaN	NaN	8.908852	NaN	NaN	254.299334	0.027390	2.000000	14.000000
25.000000	1.000000	31.000000	53.960844	NaN	NaN	8.513824	NaN	NaN	253.428141	0.022892	2.000000	11.000000
25.000000	1.000000	22.000000	99.081984	NaN	NaN	9.249119	NaN	NaN	255.017853	0.022619	2.000000	14.000000
25.000000	1.000000	2.000000	64.196253	NaN	NaN	7.449781	NaN	NaN	250.648195	0.028008	2.000000	14.000000
25.000000	1.000000	32.000000	33.572380	NaN	NaN	8.735980	NaN	NaN	253.958291	0.029541	2.000000	13.000000
25.000000	1.000000	35.000000	93.038656	NaN	NaN	7.057587	NaN	NaN	249.450884	0.025815	2.000000	12.000000
25.000000	1.000000	37.000000	33.635947	NaN	NaN	10.190613	NaN	NaN	256.668049	0.025217	2.000000	11.000000
25.000000	1.000000	29.000000	11.048192	NaN	NaN	10.760872	NaN	NaN	257.601091	0.026378	2.000000	12.000000
25.000000	1.000000	15.000000	2.730127	NaN	NaN	6.208618	NaN	NaN	246.331595	0.018015	2.000000	10.000000
25.000000	1.000000	17.000000	34.202722	NaN	NaN	16.867554	NaN	NaN	263.552883	0.024614	2.000000	12.000000
25.000000	1.000000	27.000000	93.777266	NaN	NaN	10.912689	NaN	NaN	257.813249	0.036433	2.000000	12.000000
25.000000	1.000000	1.000000	14.350950	NaN	NaN	16.133392	NaN	NaN	263.065211	0.025906	2.000000	12.000000
25.000000	1.000000	5.000000	47.692246	NaN	NaN	8.635429	NaN	NaN	253.705514	0.019154	2.000000	12.000000
25.000000	1.000000	33.000000	63.052793	NaN	NaN	9.928520	NaN	NaN	256.248436	0.027196	2.000000	13.000000
25.000000	1.000000	9.000000	22.781782	NaN	NaN	0.664642	NaN	NaN	165.156756	0.022862	2.000000	17.000000
25.000000	1.000000	12.000000	62.803264	NaN	NaN	0.671757	NaN	NaN	165.124508	0.027173	1.000000	20.000000
25.000000	2.000000	11.000000	96.537184	NaN	0.658531	7.767578	NaN	1.208984	251.572437	0.027614	2.000000	11.000000
25.000000	2.000000	13.000000	23.630044	NaN	0.628978	6.220703	NaN	1.518359	246.363037	0.020212	2.000000	11.000000
25.000000	2.000000	29.000000	53.758622	NaN	1.760671	0.864044	NaN	0.209943	169.131934	0.022584	2.000000	11.000000
25.000000	2.000000	38.000000	15.641230	NaN	1.002807	4.577148	NaN	1.491992	237.647802	0.022468	2.000000	11.000000
25.000000	2.000000	21.000000	11.474900	NaN	1.924447	0.663887	NaN	0.000008	165.095304	0.024436	2.000000	14.000000
25.000000	2.000000	30.000000	52.524668	NaN	0.425320	0.649536	NaN	0.000049	165.082358	0.026072	2.000000	13.000000
25.000000	2.000000	15.000000	49.413391	NaN	0.337584	0.650828	NaN	0.021157	165.068486	0.023585	2.000000	11.000000
25.000000	2.000000	37.000000	3.743427	NaN	1.405935	0.770386	NaN	0.000049	166.613684	0.021123	2.000000	13.000000
25.000000	2.000000	20.000000	20.167361	NaN	1.609211	0.637646	NaN	0.000388	165.071173	0.023436	1.000000	16.000000
25.000000	2.000000	2.000000	63.827705	NaN	1.582741	0.619324	NaN	1.825712	169.445430	0.021838	2.000000	15.000000
25.000000	2.000000	32.000000	92.705394	NaN	0.505842	0.663887	NaN	0.000008	165.091143	0.025028	2.000000	14.000000
25.000000	2.000000	18.000000	38.629117	NaN	0.651272	0.658600	NaN	0.251691	165.142760	0.023090	2.000000	18.000000
25.000000	2.000000	35.000000	52.946112	NaN	0.693987	0.887459	NaN	0.000008	169.745733	0.026173	2.000000	14.000000
25.000000	2.000000	28.000000	17.590476	NaN	0.346769	0.638300	NaN	0.720643	165.503790	0.025808	2.000000	15.000000
25.000000	2.000000	6.000000	97.858127	NaN	0.648071	0.794343	NaN	1.638294	171.561773	0.022732	2.000000	16.000000
25.000000	2.000000	5.000000	49.285404	NaN	0.319543	0.647223	NaN	2.399257	173.492679	0.020083	2.000000	16.000000
25.000000	2.000000	36.000000	43.337710	NaN	0.605066	0.680504	NaN	0.000000	165.224098	0.024984	2.000000	17.000000
25.000000	2.000000	4.000000	23.574902	NaN	0.516991	0.643729	NaN	0.260372	165.089720	0.026500	1.000000	20.000000
25.000000	2.000000	23.000000	13.013287	NaN	0.325538	0.644241	NaN	0.271748	165.146718	0.023132	1.000000	23.000000
25.000000	2.000000	16.000000	63.223895	NaN	1.444558	0.447995	NaN	3.732943	183.259942	0.024520	2.000000	19.000000
25.000000	2.000000	1.000000	47.214088	NaN	0.332740	0.616895	NaN	0.000419	165.200467	0.029685	1.000000	20.000000
25.000000	2.000000	17.000000	25.563966	NaN	1.632859	0.641488	NaN	0.001758	165.045977	0.019823	2.000000	20.000000
25.000000	2.000000	27.000000	11.323587	NaN	1.783030	0.996790	NaN	2.034659	179.160081	0.020096	2.000000	19.000000
25.000000	2.000000	24.000000	69.549816	NaN	0.486876	0.648429	NaN	0.000000	165.028521	0.021780	1.000000	19.000000
