subID	Model	eta	Mp	wp	nll
17	3	1	3.605471e-01	3.291139e-01	2.455374e+02
17	4	1	2.855592e-01	3.291139e-01	2.492431e+02
17	5	1	2.261676e-01	3.291139e-01	2.471451e+02
17	6	1	1.791284e-01	3.291139e-01	2.492702e+02
17	7	1	2.012785e-01	3.291139e-01	2.473904e+02
18	1	4.825522e+01	NaN	NaN	2.442598e+02
18	2	4.825522e+01	NaN	NaN	2.447580e+02
18	3	1	3.027002e+01	1.265823e-01	2.422595e+02
18	4	1	2.261676e-01	3.797468e-01	2.416506e+02
18	5	1	2.133605e+01	2.025316e-01	2.432203e+02
18	6	1	1.156888e+00	3.797468e-01	2.416927e+02
18	7	1	9.433732e+00	3.037975e-01	2.433764e+02
19	1	2.940048e+00	NaN	NaN	2.245085e+02
19	2	2.328566e+00	NaN	NaN	2.232460e+02
19	3	1	2.940048e+00	0	2.240743e+02
19	4	1	2.616505e+00	0	2.234646e+02
19	5	1	2.616505e+00	0	2.233011e+02
19	6	1	2.328566e+00	0	2.233839e+02
19	7	1	2.328566e+00	0	2.231564e+02
20	1	8.643883e+01	NaN	NaN	3.687342e+02
20	2	8.643883e+01	NaN	NaN	3.683723e+02
20	3	1	1.123655e-01	7.594937e-01	3.618246e+02
20	4	1	2.541343e-01	6.835443e-01	3.622040e+02
20	5	1	2.541343e-01	7.341772e-01	3.615312e+02
20	6	1	4.552268e-01	7.088608e-01	3.621511e+02
20	7	1	1.262600e-01	7.594937e-01	3.614483e+02
21	1	4.051305e-01	NaN	NaN	3.859635e+02
21	2	3.605471e-01	NaN	NaN	3.859373e+02
21	3	1	3.605471e-01	1.012658e-01	3.859398e+02
21	4	1	3.208700e-01	5.063291e-02	3.855796e+02
21	5	1	3.605471e-01	5.063291e-02	3.855566e+02
21	6	1	3.605471e-01	0	3.857580e+02
21	7	1	4.051305e-01	0	3.857026e+02
22	1	4.171125e+00	NaN	NaN	3.499364e+02
22	2	2.940048e+00	NaN	NaN	3.488202e+02
22	3	1	1.299942e+00	5.569620e-01	3.479770e+02
22	4	1	2.940048e+00	5.063291e-02	3.481520e+02
22	5	1	4.552268e-01	7.594937e-01	3.468699e+02
22	6	1	2.940048e+00	0	3.489061e+02
22	7	1	2.072315e+00	3.037975e-01	3.480839e+02
23	1	2.693889e+01	NaN	NaN	2.135949e+02
23	2	2.693889e+01	NaN	NaN	2.151283e+02
23	3	1	2.693889e+01	0	2.135874e+02
23	4	1	2.693889e+01	0	2.151507e+02
23	5	1	2.693889e+01	0	2.152033e+02
23	6	1	2.693889e+01	0	2.152683e+02
23	7	1	2.693889e+01	0	2.148457e+02
24	1	5.422221e+01	NaN	NaN	3.596388e+02
24	2	2.072315e+00	NaN	NaN	2.523501e+02
24	3	1	2.541343e-01	9.620253e-01	3.218957e+02
24	4	1	1.000000e-01	3.544304e-01	2.475481e+02
24	5	1	1.418727e-01	5.063291e-02	2.452276e+02
24	6	1	1.262600e-01	4.050633e-01	2.494276e+02
24	7	1	2.012785e-01	5.063291e-02	2.443897e+02
25	1	3.027002e+01	NaN	NaN	2.688410e+02
25	2	3.401305e+01	NaN	NaN	2.689557e+02
25	3	1	3.401305e+01	0	2.688332e+02
25	4	1	3.401305e+01	0	2.690425e+02
25	5	1	3.027002e+01	0	2.689863e+02
25	6	1	3.027002e+01	0	2.689584e+02
25	7	1	3.401305e+01	0	2.693097e+02
26	1	9.433732e+00	NaN	NaN	1.182163e+02
26	2	9.433732e+00	NaN	NaN	1.182746e+02
26	3	1	2.261676e-01	1.518987e-01	1.101324e+02
26	4	1	1.123655e-01	1.518987e-01	1.122642e+02
26	5	1	1.000000e-01	1.518987e-01	1.112405e+02
26	6	1	1.791284e-01	1.518987e-01	1.123382e+02
26	7	1	1.418727e-01	1.518987e-01	1.114085e+02
27	1	4.294488e+01	NaN	NaN	3.452887e+02
27	2	4.294488e+01	NaN	NaN	3.453114e+02
27	3	1	4.294488e+01	0	3.449500e+02
27	4	1	3.401305e+01	5.063291e-02	3.448529e+02
27	5	1	4.294488e+01	0	3.451966e+02
27	6	1	3.821893e+01	0	3.450544e+02
27	7	1	4.294488e+01	0	3.451778e+02
28	1	4.171125e+00	NaN	NaN	1.716353e+02
28	2	3.303599e+00	NaN	NaN	1.695823e+02
28	3	1	3.303599e+00	5.063291e-02	1.711231e+02
28	4	1	3.303599e+00	0	1.697006e+02
28	5	1	3.303599e+00	0	1.697569e+02
28	6	1	2.328566e+00	5.063291e-02	1.698711e+02
28	7	1	3.303599e+00	0	1.700023e+02
29	1	6.846097e+01	NaN	NaN	3.500314e+02
29	2	6.846097e+01	NaN	NaN	3.500278e+02
29	3	1	1.123655e-01	5.063291e-01	3.430750e+02
29	4	1	3.208700e-01	5.063291e-01	3.438360e+02
29	5	1	1.299942e+00	5.063291e-01	3.430026e+02
29	6	1	3.208700e-01	5.063291e-01	3.437969e+02
29	7	1	5.115178e-01	5.063291e-01	3.430354e+02
30	1	4.294488e+01	NaN	NaN	2.181213e+02
30	2	4.294488e+01	NaN	NaN	2.173194e+02
30	3	1	4.294488e+01	0	2.183570e+02
30	4	1	4.294488e+01	0	2.170974e+02
30	5	1	4.294488e+01	0	2.171239e+02
30	6	1	4.294488e+01	0	2.171469e+02
30	7	1	4.294488e+01	0	2.170843e+02
31	1	4.421500e+02	NaN	NaN	3.687449e+02
31	2	4.421500e+02	NaN	NaN	3.686886e+02
31	3	1	7.048574e+02	3.037975e-01	3.684498e+02
31	4	1	6.272900e+02	9.367089e-01	3.684122e+02
31	5	1	8.899530e+02	1.620253e+00	3.684584e+02
31	6	1	6.272900e+02	1.822785e+00	3.682672e+02
31	7	1	8.899530e+02	1.012658e-01	3.683457e+02
32	1	8.395579e+00	NaN	NaN	3.160550e+02
32	2	7.471671e+00	NaN	NaN	3.125765e+02
32	3	1	1.262600e-01	5.822785e-01	2.980389e+02
32	4	1	1.123655e-01	5.063291e-01	2.953281e+02
32	5	1	1.418727e-01	5.316456e-01	2.970489e+02
32	6	1	1.000000e-01	5.316456e-01	2.950118e+02
32	7	1	1.123655e-01	5.316456e-01	2.968268e+02
33	1	2.397435e+01	NaN	NaN	3.720902e+02
33	2	3.934927e+02	NaN	NaN	3.718632e+02
33	3	1	7.920164e+02	1.468354e+00	3.718550e+02
33	4	1	3.116527e+02	1.189873e+00	3.718767e+02
33	5	1	3.401305e+01	1.012658e+00	3.717449e+02
33	6	1	1.377972e+02	1.518987e-01	3.718540e+02
33	7	1	2.773563e+02	4.050633e-01	3.718866e+02
34	1	4.686904e+00	NaN	NaN	1.696862e+02
34	2	4.171125e+00	NaN	NaN	1.677341e+02
34	3	1	2.940048e+00	1.012658e-01	1.684485e+02
34	4	1	8.154407e-01	1.772152e-01	1.595451e+02
34	5	1	1.123655e-01	2.025316e-01	1.606286e+02
34	6	1	9.162739e-01	1.772152e-01	1.593521e+02
34	7	1	1.123655e-01	2.025316e-01	1.605005e+02
35	1	4.686904e+00	NaN	NaN	1.627266e+02
35	2	4.686904e+00	NaN	NaN	1.650580e+02
35	3	1	4.171125e+00	2.531646e-02	1.621668e+02
35	4	1	3.712105e+00	5.063291e-02	1.644821e+02
35	5	1	4.686904e+00	0	1.645911e+02
35	6	1	4.171125e+00	2.531646e-02	1.647291e+02
35	7	1	4.686904e+00	0	1.646167e+02
36	1	3.303599e+00	NaN	NaN	1.871682e+02
36	2	3.303599e+00	NaN	NaN	1.934946e+02
36	3	1	1.000000e-01	3.291139e-01	1.677198e+02
36	4	1	1.418727e-01	3.037975e-01	1.775221e+02
36	5	1	1.123655e-01	3.037975e-01	1.799073e+02
