subID	modeli	name	Mp	wp	nll	nllsd	success	iterations
1	1	McFadden	0.206099140539003	NaN	108.596629235276	0.0201317374811349	1	25
1	2	LinearDistrb	0.186460738920687	NaN	112.883082000187	0.0244867521052894	1	21
1	3	DN	0.208486557006836	0	108.570005249002	0.0202500417951661	2	15
1	4	dDNb	0.114582447335124	0.0506571590900421	112.658341608244	0.0212303026798751	2	18
1	5	dDNd	0.124090432682834	0.0447732008597882	112.643108577149	0.0243770246681789	1	23
2	1	McFadden	0.0789294540154515	NaN	125.00065273195	0.0243435472557989	1	21
2	2	LinearDistrb	0.0473769643867854	NaN	135.004181953318	0.0220450658841033	1	17
2	3	DN	0.0750421809498221	0.000333932531066283	124.967326027758	0.020765023852809	1	21
2	4	dDNb	0.0306330205868619	0.00160722111986611	134.713654186039	0.0238015367845347	1	14
2	5	dDNd	0.0263180116126023	0.0021979365676088	134.721908518401	0.0215816400814994	1	19
3	1	McFadden	0.552189574678778	NaN	144.666795766842	0.0219890780508445	1	22
3	2	LinearDistrb	0.555117050884292	NaN	145.351896968457	0.0223839912463191	1	21
3	3	DN	0.544785141944885	0	144.679843819526	0.0211469051462357	1	21
3	4	dDNb	0.560472959032836	0	145.351530466492	0.0160011727599874	1	25
3	5	dDNd	0.547992681269534	0	145.341851471932	0.0215765389005082	1	22
4	1	McFadden	0.295941090348883	NaN	184.710576922267	0.0251487491882154	1	23
4	2	LinearDistrb	0.228562054606755	NaN	184.333102310005	0.0243486606556251	1	23
4	3	DN	7.82165443524718e-11	0.0625923773670365	182.276218303594	0.0214959545260696	1	18
4	4	dDNb	2.27373675443232e-13	0.0455653258209395	182.436622269795	0.0275645696998989	1	30
4	5	dDNd	2.04890966415405e-08	0.0458468802273273	182.463667486776	0.02575594416377	1	20
5	1	McFadden	0.635877086360779	NaN	140.795126309007	0.0256800668009262	1	23
5	2	LinearDistrb	0.572093749901228	NaN	140.32785700585	0.0262880895290671	1	20
5	3	DN	3.37604433298111e-09	0.288745829532854	121.374890623252	0.0232543815212266	1	29
5	4	dDNb	0.0237364700587932	0.239998897671467	126.367641481373	0.0311565536644995	1	20
5	5	dDNd	0.0351493494136434	0.24256409058833	127.084099641967	0.0205996403887162	1	24
6	1	McFadden	4.74987840652466	NaN	269.816860532615	0.0294160091366389	2	13
6	2	LinearDistrb	4.23499298095703	NaN	269.297027606517	0.0229130723066033	2	14
6	3	DN	2.27373675443232e-13	0.241059529750095	262.657657653963	0.0296286679940393	1	18
6	4	dDNb	4.76837158203125e-07	0.244833415746689	262.846975752261	0.0259289929268792	2	17
6	5	dDNd	2.04890966415405e-08	0.239430876635015	262.837472677335	0.0310153058325174	1	21
7	1	McFadden	0.457263333584706	NaN	186.639686812326	0.0277438566966	1	19
7	2	LinearDistrb	0.178494095802307	NaN	174.269303552328	0.0223734111837099	2	17
7	3	DN	4.76837158203125e-07	0.0486693382263184	185.986993898241	0.0284391351092223	2	18
7	4	dDNb	0.176455288406487	0	174.288635916783	0.0258511275510284	1	18
7	5	dDNd	0.170113761143512	0.000489273668426882	174.290856123801	0.0206853290937564	1	21
8	1	McFadden	0.490631878376007	NaN	165.392805644794	0.0456360140333726	2	18
8	2	LinearDistrb	0.476145267486572	NaN	166.177403309492	0.0323405493902276	2	17
8	3	DN	4.76837158203125e-07	0.10968354344368	162.359180129662	0.036689884313936	2	18
8	4	dDNb	7.05718994140625e-05	0.106010437011719	164.038660481699	0.0288975884907923	2	15
8	5	dDNd	7.05718994140625e-05	0.106886291503906	164.083784405627	0.0287729327035046	2	15
9	1	McFadden	2.00614841841161	NaN	247.950748363003	0.0281681139685314	2	15
9	2	LinearDistrb	3.70703125	NaN	253.58066953736	0.0309978055165603	2	13
9	3	DN	1.93267175555229	0.00867760181427002	247.937727698653	0.0355156172563747	2	11
9	4	dDNb	1.93898377654841	0	247.976046351088	0.0261345414182444	1	20
9	5	dDNd	1.98072046041489	0	247.987957958787	0.026174712478431	2	11
10	1	McFadden	5.06224632263184	NaN	265.412193956076	0.0199589501156057	2	14
10	2	LinearDistrb	0.66406986693346	NaN	241.36149077686	0.0316833302178311	1	20
10	3	DN	0.727178797242232	0	241.179956042082	0.0239355161312664	1	21
10	4	dDNb	0.659090151952114	0	241.382538155907	0.0337267952577383	2	18
10	5	dDNd	0.674385070800781	0	241.377364874796	0.0254797453139221	2	16
11	1	McFadden	0.775672912597656	NaN	185.332648646238	0.0259933488121974	2	9
11	2	LinearDistrb	0.500784786395407	NaN	180.051401464253	0.0200561134656159	1	19
11	3	DN	5.23868948221207e-10	0.122664898796938	183.381549234716	0.024545356814279	1	19
11	4	dDNb	0.0010986328125	0.067120361328125	179.284327883388	0.0209410561720104	2	16
11	5	dDNd	0.0661702156066895	0.0557195663452148	179.295543060737	0.0212492980107998	2	15
12	1	McFadden	0.515046685934067	NaN	136.091937373326	0.0200741348678986	2	18
12	2	LinearDistrb	0.472817440186063	NaN	140.669955919591	0.0228637891719348	1	22
12	3	DN	0.494210824370384	0	136.063057973161	0.0176565224120508	1	19
12	4	dDNb	0.473726272583008	0	140.699129370147	0.0230154423679482	2	15
12	5	dDNd	0.474740777284751	0	140.707231491061	0.0174892947524692	1	21
13	1	McFadden	0.750767114388708	NaN	148.822483682348	0.0188175445031856	1	20
13	2	LinearDistrb	0.70555914583565	NaN	148.722560669613	0.0194697107575598	2	19
13	3	DN	0.757143517956138	0	148.809111262512	0.017852090424041	1	17
13	4	dDNb	0.708853418048875	5.3405761718528e-06	148.753456916403	0.0179775432946441	1	18
