subID	modeli	name	Mp	delta	wp	scl	nll	nllsd	success	iterations
1	1	McFadden	1.67203712463379	0.472661972045899	NaN	NaN	247.950226397662	0.0407311744966303	2	11
1	2	LinearDistrb	0.715232536599387	1.89840986809886	NaN	1.63928880921274	244.702256093674	0.0540618616313499	1	27
1	3	DN	1.72811889648438	0.61236572265625	0	NaN	248.416236115	0.0375557787236372	2	11
1	4	dDNb	0.927490234375	1.26982421875	0	1.53857421875	244.90783110424	0.0387734899981113	2	26
1	5	dDNd	0.942407608032227	1.0128002166748	0.000104141235351518	1.56834716796875	245.059951164549	0.0513999641070995	1	29
2	1	McFadden	60.7901554107666	-0.077901840209961	NaN	NaN	348.981435223887	0.0399608141100914	2	13
2	2	LinearDistrb	54.6293166804171	-0.04027052038291	NaN	3.99999999999709	344.106344932646	0.0315276759906393	2	22
2	3	DN	60.4113674163818	-0.0737728118896485	0	NaN	348.942296238742	0.0333684561411368	2	15
2	4	dDNb	54.454492818797	-1.96807791844476	0.000170898437499956	3.99999999981374	341.569902722789	0.03766839340317	1	28
2	5	dDNd	55.172064781189	-0.0747230291366577	0	3.99999988079071	344.098829532667	0.0297991201722643	2	20
3	1	McFadden	4.64709722995758	0.33305299282074	NaN	NaN	182.221650199879	0.0276508957664689	2	18
3	2	LinearDistrb	4.56830249540508	0.367077219858766	NaN	1.86264514923096e-09	182.270674022082	0.0292679324200702	1	22
3	3	DN	1.33148509997409	0.238226670399308	0.123150125215761	NaN	179.506848384341	0.0368551318579039	2	26
3	4	dDNb	1.91147041320801	0.231769847869873	0.101762676239014	7.62939453169409e-07	179.440817149733	0.0424064563522249	2	18
3	5	dDNd	1.48138329386711	0.241182041168213	0.11957358121872	3.08573246001753e-05	179.481144062822	0.0359024839090482	1	22
4	1	McFadden	5.5351736843586	0.526237827539444	NaN	NaN	121.677676213573	0.0230919699932407	1	25
4	2	LinearDistrb	5.04086483363062	0.654082574881613	NaN	0.762537062261254	121.634076647317	0.0196989817215193	2	18
4	3	DN	5.50958510762166	0.544715747850387	8.41983819332981e-08	NaN	121.6599266192	0.0190658022902858	1	29
4	4	dDNb	4.7588005065918	0.70860710144043	0	1.00463523864746	121.633802091824	0.0228477921252579	2	20
4	5	dDNd	4.80525207519531	0.66165771484375	0	1.02938537597656	121.64149193308	0.013891473076773	1	25
5	1	McFadden	3.34372711181641	0.507455444335938	NaN	NaN	149.014301963317	0.0501431287895751	1	29
5	2	LinearDistrb	1.44105386734009	1.99973154067993	NaN	0.769205093383789	143.650281558863	0.086377779785701	2	24
5	3	DN	3.39678764343262	0.510357666015625	0	NaN	149.013121136992	0.0482729448190681	2	23
5	4	dDNb	2.20996614545584	0.902837488055229	0.00128860175609591	0.619177247583866	145.255585759024	0.0695476386758456	1	21
5	5	dDNd	1.72405025362968	1.51822416782379	0	0.689198446273804	143.982213499844	0.0661802123717975	2	22
6	1	McFadden	17.4230284111982	0.845171928900527	NaN	NaN	240.249292499391	0.032714219312574	2	21
6	2	LinearDistrb	15.1985764113997	1.0395158371306	NaN	1.65592682733404	239.791712167031	0.0313689846689818	1	24
6	3	DN	2.11002770811319e-10	0.76700535544951	0.147440274539986	NaN	231.898428015618	0.0285176546161393	2	18
6	4	dDNb	0.009033203125	1.08118896484375	0.11868896484375	1.60421752929688	229.8819574065	0.031440563742999	2	17
6	5	dDNd	4.61935997009277e-07	0.955978307127953	0.125206981599331	1.46579705029726	229.854032410471	0.0283399592028506	1	18
7	1	McFadden	47.1694602966309	-0.325209808349609	NaN	NaN	283.107915821785	0.0356329000402276	2	14
7	2	LinearDistrb	46.4688463681377	-0.307689225394279	NaN	1.86264559332017e-10	283.11280173185	0.0378215101878119	1	24
7	3	DN	47.0591234378517	-0.328388134390116	2.81762331724167e-05	NaN	283.126193342468	0.0424299178845115	2	28
7	4	dDNb	47.1250794803491	-0.321287388005294	0	1.86264559332017e-10	283.132996539583	0.0345137649963846	2	19
7	5	dDNd	47.3465672284365	-0.314506685733795	0	1.19209289106692e-08	283.117524587939	0.0382059238724287	2	31
8	1	McFadden	5.8052063541254	1.14794743913226	NaN	NaN	154.686933881915	0.0841167157492073	1	25
8	2	LinearDistrb	4.59007691021543	1.71063710462768	NaN	1.68638911743183	154.818470006092	0.0995984024911635	2	19
8	3	DN	5.91968047828595	1.09096965370372	2.09911449933209e-06	NaN	154.669017071571	0.105967590307283	1	30
8	4	dDNb	3.12963879262736	2.90234935421281	0.000675892569597658	1.46980146960441	154.476834113133	0.0811878745732798	1	28
8	5	dDNd	5.65721305459738	1.19086787104607	0	0.420597676932812	154.46346794848	0.0862468080568827	2	23
9	1	McFadden	5.86548316478729	0.0491822242736816	NaN	NaN	190.241788230548	0.108411839140853	2	17
9	2	LinearDistrb	4.4648351133801	-0.312300443649292	NaN	2.5517886267975	185.589181847532	0.111061049274881	1	30
9	3	DN	0.00299072265625	0.20462646484375	0.120440673828125	NaN	189.595338942075	0.145646526756908	2	17
9	4	dDNb	4.55256324261427	-1.50444789230824	0.00145797729492192	2.80142660588026	185.887549541666	0.119488216564752	2	32
9	5	dDNd	4.73831452871491	-0.42023584903327	9.90621629171073e-08	2.701994251824	186.050657530407	0.136673849300453	1	27
10	1	McFadden	20.4893684303388	-0.0961181912571192	NaN	NaN	352.618190215075	0.0398726788411635	2	20
10	2	LinearDistrb	19.8129147642321	-0.0678007477326901	NaN	2.91033863675239e-12	352.600710817997	0.0284969503691554	2	24
10	3	DN	20.4868106842041	-0.108000946044922	0.0154796600341797	NaN	352.615809040204	0.0352146990451904	2	11
