subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	nll	nllsd	success	iterations
1.000000	1.000000	7.000000	86.225074	0.215445	NaN	NaN	5.833984	0.108789	NaN	NaN	298.287647	0.038351	2.000000	11.000000
1.000000	1.000000	30.000000	16.186423	0.048793	NaN	NaN	7.767578	-0.066113	NaN	NaN	311.022721	0.026721	2.000000	12.000000
1.000000	1.000000	24.000000	37.761855	0.393542	NaN	NaN	6.610761	-0.224287	NaN	NaN	296.450302	0.032155	2.000000	11.000000
1.000000	1.000000	3.000000	97.327097	0.226262	NaN	NaN	1.809692	0.455518	NaN	NaN	248.177560	0.034909	2.000000	11.000000
1.000000	1.000000	28.000000	15.136942	0.020807	NaN	NaN	1.785522	0.350562	NaN	NaN	247.986550	0.033422	2.000000	11.000000
1.000000	1.000000	26.000000	12.023204	-0.177115	NaN	NaN	7.090820	0.182324	NaN	NaN	311.757526	0.029896	2.000000	12.000000
1.000000	1.000000	19.000000	42.034630	-0.111896	NaN	NaN	4.093750	-0.048828	NaN	NaN	272.982703	0.028530	2.000000	12.000000
1.000000	1.000000	2.000000	64.196253	0.111678	NaN	NaN	2.134735	0.038831	NaN	NaN	250.042584	0.030378	2.000000	11.000000
1.000000	1.000000	22.000000	99.081984	0.056753	NaN	NaN	1.809692	0.377515	NaN	NaN	248.083109	0.041626	2.000000	11.000000
1.000000	1.000000	40.000000	43.672536	0.359171	NaN	NaN	1.965286	-1.999995	NaN	NaN	250.507679	0.056642	2.000000	11.000000
1.000000	1.000000	4.000000	33.087689	-0.195295	NaN	NaN	3.599872	-0.462864	NaN	NaN	265.270808	0.056393	2.000000	11.000000
1.000000	1.000000	38.000000	15.564517	0.379606	NaN	NaN	3.006104	-0.201904	NaN	NaN	257.399061	0.037810	2.000000	11.000000
1.000000	1.000000	20.000000	15.320793	-0.111040	NaN	NaN	1.672037	0.472662	NaN	NaN	247.950226	0.040731	2.000000	11.000000
1.000000	1.000000	21.000000	6.163209	-0.164538	NaN	NaN	1.727364	0.504201	NaN	NaN	248.045946	0.047126	2.000000	14.000000
1.000000	1.000000	25.000000	80.065757	0.145345	NaN	NaN	1.994790	0.061270	NaN	NaN	249.639303	0.045369	2.000000	11.000000
1.000000	1.000000	35.000000	93.038656	-0.017953	NaN	NaN	2.459309	-0.144431	NaN	NaN	253.226858	0.043849	2.000000	11.000000
1.000000	1.000000	14.000000	3.457280	-0.138382	NaN	NaN	2.712288	-0.237486	NaN	NaN	255.615163	0.038445	2.000000	11.000000
1.000000	1.000000	1.000000	14.350950	0.204631	NaN	NaN	3.075592	-0.384277	NaN	NaN	260.662467	0.056728	2.000000	11.000000
1.000000	1.000000	29.000000	11.048192	-0.195530	NaN	NaN	1.822019	0.343249	NaN	NaN	248.092408	0.039112	2.000000	11.000000
1.000000	1.000000	18.000000	61.581261	0.356872	NaN	NaN	2.087177	0.063312	NaN	NaN	249.691084	0.037095	2.000000	11.000000
1.000000	1.000000	13.000000	62.011799	0.116618	NaN	NaN	2.659369	-0.256554	NaN	NaN	255.827121	0.049327	2.000000	11.000000
1.000000	1.000000	16.000000	61.457379	0.184679	NaN	NaN	2.323976	-0.175879	NaN	NaN	253.444456	0.056132	2.000000	11.000000
1.000000	1.000000	6.000000	86.681705	-0.113747	NaN	NaN	2.150632	-2.000000	NaN	NaN	250.472293	0.045838	2.000000	11.000000
1.000000	1.000000	12.000000	62.803264	-0.168723	NaN	NaN	1.996962	-0.077596	NaN	NaN	252.149874	0.077789	2.000000	11.000000
1.000000	1.000000	11.000000	1.048702	0.364206	NaN	NaN	1.774948	0.403452	NaN	NaN	248.005065	0.036985	2.000000	18.000000
1.000000	1.000000	33.000000	63.052793	0.085305	NaN	NaN	2.644310	-1.763954	NaN	NaN	255.355728	0.038423	2.000000	17.000000
1.000000	1.000000	31.000000	53.960844	-0.097385	NaN	NaN	2.277973	-1.963577	NaN	NaN	251.244006	0.039655	1.000000	20.000000
1.000000	1.000000	32.000000	33.572380	0.294391	NaN	NaN	1.387946	1.365798	NaN	NaN	252.283767	0.058768	2.000000	21.000000
1.000000	1.000000	9.000000	22.781782	0.174688	NaN	NaN	2.071360	-2.000000	NaN	NaN	250.420289	0.051618	1.000000	20.000000
1.000000	1.000000	8.000000	81.434650	0.050511	NaN	NaN	8.492676	0.091797	NaN	NaN	319.999157	0.029229	1.000000	25.000000
1.000000	1.000000	37.000000	33.635947	0.153292	NaN	NaN	1.967706	-2.000000	NaN	NaN	250.512610	0.055588	2.000000	22.000000
1.000000	1.000000	23.000000	5.144580	-0.167597	NaN	NaN	7.777126	-0.766521	NaN	NaN	293.235615	0.089721	1.000000	21.000000
1.000000	1.000000	27.000000	93.777266	0.237536	NaN	NaN	2.144278	-1.979869	NaN	NaN	250.625224	0.046602	1.000000	25.000000
1.000000	1.000000	39.000000	23.252985	-0.079813	NaN	NaN	1.767716	0.851600	NaN	NaN	250.302226	0.032867	1.000000	23.000000
1.000000	1.000000	17.000000	34.202722	0.045505	NaN	NaN	2.050617	-2.000000	NaN	NaN	250.293402	0.044608	1.000000	22.000000
1.000000	1.000000	36.000000	37.699981	-0.089803	NaN	NaN	3.572175	-1.501935	NaN	NaN	266.745805	0.093852	1.000000	30.000000
1.000000	1.000000	10.000000	31.289195	0.021955	NaN	NaN	1.592153	0.515071	NaN	NaN	248.165964	0.036133	1.000000	29.000000
1.000000	1.000000	34.000000	45.848155	0.375259	NaN	NaN	2.055473	-1.990013	NaN	NaN	250.515534	0.045586	1.000000	32.000000
1.000000	1.000000	15.000000	2.730127	-0.062967	NaN	NaN	1.946727	0.279677	NaN	NaN	248.554870	0.034851	1.000000	33.000000
