subID	modeli	name	Mp	wp	scl	nll	nllsd	success	iterations
1	1	McFadden	0.206099140539003	NaN	NaN	108.596629235276	0.0201317374811349	1	25
1	2	LinearDistrb	0.203855991363525	NaN	0.0949054718017579	108.61471842915	0.0187815199271432	1	39
1	3	DN	0.203812429303071	0	NaN	108.623048178591	0.0223577988091415	1	19
1	4	dDNb	0.204469680786133	0	7.62939453169409e-07	108.607890338988	0.0213151759227178	2	18
1	5	dDNd	0.208103688433766	0	2.31828540564472e-05	108.577688366302	0.0220615676721947	2	19
2	1	McFadden	0.0770020048166771	NaN	NaN	124.990722988084	0.0212106489695102	1	17
2	2	LinearDistrb	0.0693472190250759	NaN	0.33546222938312	124.319200558434	0.0213346955857163	1	21
2	3	DN	0.0779321451354917	2.66813192406623e-06	NaN	124.942182733882	0.0191031450898043	1	23
2	4	dDNb	0.000158309936523438	0.00826187133789058	0.370672607421875	123.818241179995	0.0216879489093459	2	27
2	5	dDNd	9.31322574615479e-10	0.00823672806727704	0.384927472780692	123.843004156943	0.019016275081883	2	17
3	1	McFadden	0.559978447461617	NaN	NaN	144.6630183974	0.024184431617196	2	21
3	2	LinearDistrb	0.553908453173676	NaN	6.22941380470365e-05	144.63679969169	0.0234602619726569	1	29
3	3	DN	0.55354307575908	0	NaN	144.657468961258	0.0243426352227228	1	22
3	4	dDNb	0.555938435698408	1.79683484025084e-06	0.00227211840683594	144.644904321775	0.0187398516005828	2	30
3	5	dDNd	0.553445061111802	0	4.88414525490199e-07	144.644229570233	0.0202435245687317	1	21
4	1	McFadden	0.298487711697817	NaN	NaN	184.719444795216	0.0328277922306909	2	19
4	2	LinearDistrb	0.0861182744702091	NaN	1.93719517948484	181.854922762854	0.031558108784756	1	40
4	3	DN	4.61935997009277e-07	0.0656829848885536	NaN	182.238094999834	0.0279486488974514	1	19
4	4	dDNb	2.11002770811319e-10	0.00240464446687838	1.74767569814285	178.980879806535	0.0278323867112974	1	23
4	5	dDNd	4.61935997009277e-07	0.00152337849140172	1.7333951830864	179.030666486511	0.0234984201940865	2	21
5	1	McFadden	0.632673365529627	NaN	NaN	140.734839161595	0.0284184607968368	2	15
5	2	LinearDistrb	0.0338640213012695	NaN	3.12372198104858	135.891527865596	0.0182594565174035	2	17
5	3	DN	1.9371509552002e-06	0.289145928621292	NaN	121.356350315903	0.0231287268836375	2	23
5	4	dDNb	4.88758087158203e-06	0.279753232002258	0.117853379249573	121.24268411046	0.0249741537929476	2	19
5	5	dDNd	4.61935997009277e-07	0.283041545748711	0.134423986077309	121.232886338477	0.0215256137243707	2	19
6	1	McFadden	5.73824882507324	NaN	NaN	270.542423490407	0.0334910076240119	2	13
6	2	LinearDistrb	1.09648348391056	NaN	0.00804068446159367	262.929784357797	0.0243233644314409	2	11
6	3	DN	0.0355664193630219	0.220564450323582	NaN	262.643232454461	0.0311506211475314	2	11
6	4	dDNb	0.0485499468413764	0.217103048555146	0.152621511692996	262.64334216368	0.0266876469992838	2	27
6	5	dDNd	0.000158309936523438	0.218181228637695	0.172523880004883	262.66247803772	0.0202573166399051	2	22
7	1	McFadden	0.395027161575854	NaN	NaN	187.621512883997	0.0222206213388997	1	20
7	2	LinearDistrb	0.178374418988824	NaN	0.99759259512648	174.312625597366	0.0211263843328115	2	28
7	3	DN	9.31322574615479e-10	0.0485117429867387	NaN	185.975412980474	0.0208201156829206	1	17
7	4	dDNb	0.172333684575278	0	1.02424133662134	174.282675852061	0.0208594504352972	1	26
7	5	dDNd	0.175012588500977	0	1.04666137695312	174.2698527796	0.0228659898660149	2	21
8	1	McFadden	0.481220679721446	NaN	NaN	165.352055024043	0.0415233009199541	1	20
8	2	LinearDistrb	0.3111572265625	NaN	3.99940185546875	163.308568026385	0.0257761093341552	2	13
8	3	DN	6.75015598972095e-13	0.111718189812954	NaN	162.312646482724	0.032377719844518	1	18
8	4	dDNb	0.0792733223949327	0.0508016440781607	3.99999937060867	162.320555294733	0.0261865970197555	1	22
8	5	dDNd	2.11002770811319e-10	0.112655867633293	0.103343583046808	162.357174810167	0.0354415958265214	1	20
9	1	McFadden	2.0087254345417	NaN	NaN	247.947462839078	0.0238655934290596	2	15
9	2	LinearDistrb	1.97713473734984	NaN	0.161521338894727	247.960670075346	0.0297054831572134	1	20
9	3	DN	1.94111928343773	0.0230001509189606	NaN	248.111210666221	0.023598778957048	1	19
9	4	dDNb	1.89884261926636	0.00628468990325926	0.00447179917246099	247.947591949186	0.0314261666403487	1	37
9	5	dDNd	1.96830749511719	3.53813171386497e-05	0.347451114654541	247.977544487766	0.0286927547401819	1	23
10	1	McFadden	5.37607765197754	NaN	NaN	265.941490013872	0.026584981184793	2	14
10	2	LinearDistrb	0.00563430786132812	NaN	2.95636672973633	238.973078389258	0.0341459888006416	1	21
10	3	DN	0.764591097831726	0.00149302482604985	NaN	241.296392676043	0.0318413699889949	2	17
10	4	dDNb	0.00339498817868389	1.30615440980808e-05	2.94693609065022	238.671470692531	0.0306164180764128	1	29
10	5	dDNd	0.00221298446138007	5.31614173693296e-06	3.14332025267281	238.763166342246	0.0259354590245261	1	31
11	1	McFadden	3.4169921875	NaN	NaN	230.191866255831	0.0224624310924313	2	13
11	2	LinearDistrb	0.0035099983215332	NaN	1.6898332118988	175.366637034503	0.0230637681192435	1	30
11	3	DN	0.000158309936523438	0.120851898193359	NaN	183.357964645442	0.0269393629960347	2	11
11	4	dDNb	0.00072479248046875	0	1.68195953369141	175.358177338803	0.0213162850073021	2	14
