subID	Model	randi	Mp0	wp0	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	29.000000	11.048192	NaN	0.513490	NaN	104.310173	0.030393	2.000000	18.000000
1.000000	1.000000	33.000000	63.052793	NaN	0.544424	NaN	104.478844	0.032817	2.000000	16.000000
1.000000	1.000000	5.000000	47.692246	NaN	0.532463	NaN	104.395527	0.036753	2.000000	14.000000
1.000000	1.000000	36.000000	37.699981	NaN	0.531000	NaN	104.332246	0.025566	2.000000	19.000000
1.000000	1.000000	1.000000	14.350950	NaN	0.530197	NaN	104.391944	0.033198	2.000000	14.000000
1.000000	1.000000	10.000000	31.289195	NaN	0.518661	NaN	104.335365	0.035990	2.000000	23.000000
1.000000	1.000000	23.000000	5.144580	NaN	0.531024	NaN	104.454925	0.032456	1.000000	20.000000
1.000000	1.000000	11.000000	1.048702	NaN	0.447526	NaN	105.491249	0.098715	1.000000	19.000000
1.000000	1.000000	39.000000	23.252985	NaN	0.502259	NaN	104.373132	0.049073	1.000000	21.000000
1.000000	1.000000	3.000000	97.327097	NaN	0.512335	NaN	104.378245	0.037258	1.000000	24.000000
1.000000	1.000000	15.000000	2.730127	NaN	0.529754	NaN	104.444147	0.050347	1.000000	19.000000
1.000000	1.000000	31.000000	53.960844	NaN	0.559678	NaN	104.619514	0.030506	1.000000	21.000000
1.000000	1.000000	19.000000	42.034630	NaN	0.513484	NaN	104.393747	0.042538	1.000000	26.000000
1.000000	1.000000	17.000000	34.202722	NaN	0.545961	NaN	104.504763	0.029339	1.000000	22.000000
1.000000	1.000000	7.000000	86.225074	NaN	0.508134	NaN	104.384026	0.043733	2.000000	22.000000
1.000000	1.000000	6.000000	86.681705	NaN	0.532226	NaN	104.356890	0.034201	1.000000	21.000000
1.000000	2.000000	21.000000	34.791578	NaN	0.283931	NaN	100.049247	0.025592	2.000000	14.000000
1.000000	2.000000	22.000000	42.039571	NaN	0.599686	NaN	107.805344	0.018362	2.000000	14.000000
1.000000	2.000000	29.000000	94.941696	NaN	0.301765	NaN	100.079742	0.028350	2.000000	15.000000
1.000000	2.000000	14.000000	9.248572	NaN	0.453743	NaN	102.758553	0.018459	2.000000	16.000000
1.000000	2.000000	38.000000	45.118930	NaN	0.304218	NaN	100.098817	0.024960	2.000000	15.000000
1.000000	2.000000	9.000000	14.682325	NaN	0.317200	NaN	100.106409	0.026854	2.000000	14.000000
1.000000	2.000000	36.000000	66.244917	NaN	0.309269	NaN	100.060767	0.032222	2.000000	15.000000
1.000000	2.000000	23.000000	71.977779	NaN	0.296887	NaN	100.083728	0.023972	1.000000	19.000000
1.000000	2.000000	39.000000	28.703060	NaN	0.311913	NaN	100.078583	0.021638	2.000000	15.000000
1.000000	2.000000	12.000000	37.204251	NaN	0.310681	NaN	100.109483	0.023694	2.000000	19.000000
1.000000	2.000000	26.000000	24.071518	NaN	0.311847	NaN	100.054133	0.027878	1.000000	18.000000
1.000000	2.000000	40.000000	72.684470	NaN	0.307661	NaN	100.081054	0.025853	2.000000	20.000000
1.000000	2.000000	13.000000	92.998897	NaN	0.300904	NaN	100.066597	0.026853	1.000000	20.000000
1.000000	2.000000	17.000000	83.409475	NaN	0.311311	NaN	100.054089	0.028749	2.000000	17.000000
1.000000	2.000000	8.000000	50.582071	NaN	0.305967	NaN	100.062815	0.032974	2.000000	19.000000
1.000000	2.000000	31.000000	58.223589	NaN	0.286641	NaN	100.105187	0.023822	1.000000	20.000000
1.000000	2.000000	7.000000	69.065555	NaN	0.309835	NaN	100.064327	0.021398	2.000000	15.000000
1.000000	2.000000	28.000000	28.022097	NaN	0.310497	NaN	100.038473	0.023417	1.000000	19.000000
1.000000	2.000000	32.000000	56.948958	NaN	0.259468	NaN	100.444214	0.027911	2.000000	18.000000
1.000000	2.000000	10.000000	95.852076	NaN	0.303109	NaN	100.047750	0.025801	2.000000	19.000000
1.000000	2.000000	25.000000	57.494889	NaN	0.317467	NaN	100.153084	0.030870	2.000000	20.000000
1.000000	2.000000	5.000000	81.366808	NaN	0.262018	NaN	100.444223	0.030415	2.000000	20.000000
1.000000	2.000000	27.000000	37.432801	NaN	0.308608	NaN	100.116495	0.028102	2.000000	14.000000
1.000000	2.000000	24.000000	47.858229	NaN	0.311157	NaN	100.037831	0.026029	1.000000	21.000000
1.000000	2.000000	11.000000	30.704131	NaN	0.312733	NaN	100.093708	0.026717	2.000000	19.000000
1.000000	2.000000	20.000000	18.363487	NaN	0.300687	NaN	100.020237	0.020996	1.000000	18.000000
1.000000	2.000000	1.000000	68.918391	NaN	0.298294	NaN	99.998639	0.028528	1.000000	21.000000
1.000000	2.000000	34.000000	62.744967	NaN	0.315500	NaN	100.070978	0.023727	1.000000	21.000000
1.000000	2.000000	33.000000	60.025996	NaN	0.302353	NaN	100.102122	0.022166	1.000000	22.000000
1.000000	2.000000	35.000000	7.047774	NaN	0.298312	NaN	100.079112	0.028895	1.000000	22.000000
1.000000	2.000000	2.000000	39.172535	NaN	0.320787	NaN	100.172924	0.024455	1.000000	18.000000
1.000000	2.000000	30.000000	81.279081	NaN	0.292799	NaN	100.078200	0.029979	2.000000	22.000000
1.000000	2.000000	15.000000	41.140005	NaN	0.305621	NaN	100.092185	0.025973	1.000000	21.000000
1.000000	2.000000	4.000000	4.724003	NaN	0.301055	NaN	100.112792	0.032131	2.000000	19.000000
1.000000	2.000000	6.000000	59.975225	NaN	0.312653	NaN	100.062033	0.026671	1.000000	20.000000
1.000000	2.000000	18.000000	33.159227	NaN	0.304761	NaN	100.080582	0.022397	1.000000	21.000000
1.000000	2.000000	16.000000	14.067018	NaN	0.302504	NaN	100.050068	0.027862	1.000000	21.000000
1.000000	2.000000	37.000000	99.716880	NaN	0.295141	NaN	100.037030	0.030666	1.000000	22.000000
1.000000	2.000000	3.000000	54.939250	NaN	0.299144	NaN	100.094599	0.021984	2.000000	24.000000
1.000000	2.000000	19.000000	49.325970	NaN	0.306272	NaN	100.038472	0.025061	1.000000	24.000000
1.000000	3.000000	19.000000	37.401942	1.113995	0.000351	0.070538	111.209639	0.042267	2.000000	11.000000
1.000000	3.000000	7.000000	8.546403	1.275843	0.519989	0.000000	104.365963	0.039814	2.000000	14.000000
1.000000	3.000000	36.000000	40.426906	0.609718	0.000071	0.072287	111.356628	0.040268	2.000000	15.000000
1.000000	3.000000	9.000000	27.042245	0.947082	0.584290	0.000000	105.021404	0.028030	2.000000	13.000000
1.000000	3.000000	34.000000	42.194464	0.157279	0.944672	0.000000	118.079203	0.019522	2.000000	13.000000
1.000000	3.000000	21.000000	10.206321	1.295681	0.674230	0.000000	107.371793	0.030748	2.000000	18.000000
1.000000	3.000000	18.000000	29.991710	0.688875	0.529335	0.000000	104.401627	0.029840	2.000000	14.000000
1.000000	3.000000	27.000000	21.910526	1.295854	0.530341	0.000000	104.464386	0.037540	2.000000	18.000000
1.000000	3.000000	26.000000	40.487574	0.626287	0.565317	0.000000	104.707484	0.031041	2.000000	16.000000
1.000000	3.000000	16.000000	15.398570	1.036936	0.536064	0.000000	104.399146	0.030786	2.000000	15.000000
1.000000	3.000000	14.000000	42.420570	0.369679	0.572023	0.000000	104.817265	0.026145	2.000000	18.000000
1.000000	3.000000	37.000000	20.254049	0.985257	0.537373	0.000000	104.441405	0.035427	2.000000	15.000000
1.000000	3.000000	4.000000	20.256154	1.078591	0.000071	0.076752	111.580343	0.026006	2.000000	15.000000
1.000000	3.000000	29.000000	44.661026	0.919929	0.558121	0.000000	104.648553	0.029737	1.000000	17.000000
1.000000	3.000000	24.000000	21.826353	0.712229	0.519066	0.000000	104.328304	0.034272	2.000000	18.000000
1.000000	3.000000	32.000000	8.931545	0.080606	0.557771	0.000000	104.613853	0.026724	2.000000	20.000000
1.000000	3.000000	20.000000	31.909671	1.369540	0.537933	0.000000	104.381464	0.036699	2.000000	16.000000
1.000000	3.000000	39.000000	20.708506	1.284926	0.518494	0.000000	104.389071	0.037832	2.000000	14.000000
1.000000	3.000000	15.000000	26.784975	0.849927	0.532960	0.000000	104.374445	0.029032	2.000000	19.000000
1.000000	3.000000	22.000000	16.684365	0.966011	0.000071	0.071799	111.264495	0.045795	2.000000	15.000000
1.000000	3.000000	1.000000	20.063301	0.520172	0.460251	0.000564	105.083756	0.063195	1.000000	20.000000
1.000000	3.000000	38.000000	36.830147	1.290034	0.512454	0.000000	104.334354	0.033150	1.000000	22.000000
1.000000	3.000000	23.000000	16.350370	1.321524	0.514468	0.000043	104.326916	0.034157	2.000000	23.000000
1.000000	3.000000	40.000000	21.617250	0.247983	0.510498	0.000000	104.281787	0.039632	2.000000	18.000000
1.000000	3.000000	6.000000	6.050777	0.549703	0.563074	0.000000	104.704453	0.034975	2.000000	19.000000
1.000000	3.000000	33.000000	32.507815	1.191194	0.515387	0.000000	104.338725	0.046023	1.000000	20.000000
1.000000	3.000000	13.000000	44.597522	0.108201	0.388858	0.024134	106.855531	0.029248	2.000000	22.000000
1.000000	3.000000	12.000000	22.127911	0.865090	0.506013	0.000009	104.436828	0.057365	1.000000	21.000000
1.000000	3.000000	25.000000	47.101796	0.726581	0.529329	0.000000	104.374604	0.033543	2.000000	17.000000
1.000000	3.000000	28.000000	26.464772	0.216216	0.000000	0.069266	111.280201	0.037609	1.000000	25.000000
1.000000	3.000000	31.000000	44.833432	0.024752	0.602327	0.000000	105.396572	0.029320	1.000000	19.000000
1.000000	3.000000	10.000000	22.118384	1.238891	0.385199	0.010081	106.243426	0.090033	1.000000	25.000000
1.000000	3.000000	11.000000	25.531687	0.294590	0.525889	0.000002	104.324127	0.027710	1.000000	18.000000
1.000000	3.000000	30.000000	10.641926	1.037775	0.510858	0.000000	104.391348	0.032054	2.000000	22.000000
1.000000	3.000000	17.000000	1.766940	0.104890	0.101192	0.062265	110.283783	0.028755	1.000000	20.000000
1.000000	3.000000	3.000000	4.501622	0.271926	0.517997	0.000000	104.333083	0.041169	1.000000	20.000000
1.000000	3.000000	2.000000	11.067671	0.334714	0.269125	0.036866	107.878643	0.046775	1.000000	22.000000
1.000000	3.000000	35.000000	30.881914	0.368640	0.325626	0.026505	106.830208	0.037871	1.000000	23.000000
