subID	modeli	name	Mp	wp	nll	nllsd	success	iterations
1	1	McFadden	0.513490334153175	NaN	104.310172805568	0.0303931339765877	2	18
1	2	LinearDistrb	0.298293772011441	NaN	99.998639380572	0.0285279198317025	1	21
1	3	DN	0.510498434305191	0	104.281787249521	0.0396317830019873	2	18
1	4	dDNb	0.295526942623837	0	100.008213057784	0.0279445118631993	1	28
1	5	dDNd	0.305257793905398	5.92428197609962e-08	100.033668746089	0.0306975004943319	1	20
2	1	McFadden	0.21168053150177	NaN	40.3929113293047	0.0178171489302468	2	14
2	2	LinearDistrb	6.38961791992188e-05	NaN	56.9625772933757	0.0120958043215952	2	14
2	3	DN	0.210117508346229	0	40.3850543838149	0.0219956859045094	2	21
2	4	dDNb	0.00408935546875	0	56.9603092949706	0.00967432942565428	2	13
2	5	dDNd	0.0003509521484375	0	56.9534533184125	0.0126294994952813	2	14
3	1	McFadden	0.186034042878731	NaN	15.9048372201442	0.00863540995532661	1	17
3	2	LinearDistrb	6.38961791992188e-05	NaN	16.882132329987	0.00644434405163697	2	14
3	3	DN	0.188018798828125	0	15.9095721431757	0.00916365770364759	2	13
3	4	dDNb	0.000257492065429688	0	16.879836191399	0.00664601096052628	2	16
3	5	dDNd	0.0010986328125	0	16.8762729714591	0.00641588195021038	2	12
4	1	McFadden	4.26199531555176	NaN	227.359155048635	0.0286060238137412	2	14
4	2	LinearDistrb	0.620530536980368	NaN	192.247801175136	0.0272551552642123	1	20
4	3	DN	0.811543526826426	0	185.568474619159	0.0244293601312566	1	20
4	4	dDNb	0.637649416923523	0	192.261739864424	0.0251585698774637	2	17
4	5	dDNd	0.631930590829491	0	192.266835758273	0.0198897616893381	1	20
5	1	McFadden	0.286739468574524	NaN	53.4303784377597	0.0208480092779164	1	22
5	2	LinearDistrb	0.192154217511415	NaN	51.7510483716933	0.017635230570694	2	18
5	3	DN	0.283123925328255	0	53.4198363153744	0.0220375295460673	1	21
5	4	dDNb	0.189058871321322	0	51.7479833402271	0.014412296313694	1	17
5	5	dDNd	0.185866796848131	0.000336089753545821	51.77823471069	0.016030889485764	1	21
6	1	McFadden	0.404132130672224	NaN	140.325753410644	0.021364598919699	1	22
6	2	LinearDistrb	0.265769769792769	NaN	153.684422445515	0.01390346514522	2	23
6	3	DN	0.415494771476574	0.000348632049804065	140.330875805215	0.0257067054074486	1	20
6	4	dDNb	0.252108238682922	0.000279754382427222	153.724713848573	0.0244119131381182	1	27
6	5	dDNd	0.252594119505375	0.000923005097138274	153.699587839506	0.0206941723141497	2	16
7	1	McFadden	0.331819689454278	NaN	113.039240670695	0.0206098743203117	1	19
7	2	LinearDistrb	1.66893005371094e-05	NaN	96.365389715385	0.0162981997941423	2	16
7	3	DN	0.334564809189033	0	113.026189550229	0.0197159106559109	1	24
7	4	dDNb	0.00072479248046875	0	96.3860667524929	0.0142469588571585	2	14
7	5	dDNd	0.000128984451293945	0	96.3802457371383	0.0136679887132705	2	12
8	1	McFadden	0.84529390768148	NaN	138.943478782165	0.0287652206066679	2	16
8	2	LinearDistrb	0.756666205619695	NaN	137.444138674061	0.0224662277582552	1	21
8	3	DN	2.27373675443232e-13	0.132467558280905	130.797480454141	0.0202295735036758	1	23
8	4	dDNb	0.106825963182651	0.102901621897278	133.980838361113	0.0270727117990995	1	22
8	5	dDNd	0.179317453468684	0.0924056898336858	134.495994526647	0.0220917881170644	1	22
9	1	McFadden	0.453695999458432	NaN	104.599543562203	0.0211528311654567	1	18
9	2	LinearDistrb	0.402162625739933	NaN	106.36216838896	0.0188923632548492	1	27
9	3	DN	0.450103050097823	0	104.606691453175	0.0204913051091263	2	19
9	4	dDNb	0.404536604881287	0	106.392091209839	0.019103203135391	2	17
9	5	dDNd	0.398632055732378	0	106.374988333441	0.0162742275735665	1	22
10	1	McFadden	0.536688680978386	NaN	150.162858697577	0.0183292902761489	1	22
10	2	LinearDistrb	0.508836037870651	NaN	153.563197018161	0.0227103468882734	2	20
10	3	DN	0.534353846684098	0	150.143737017772	0.0191244460508061	1	17
10	4	dDNb	0.509790985001018	0	153.56443108282	0.0185478761315963	1	19
10	5	dDNd	0.510309675199096	0	153.562934046683	0.0215212973079895	1	23
11	1	McFadden	0.112774421926588	NaN	161.082895385747	0.0336777216999183	2	22
11	2	LinearDistrb	6.38961791992188e-05	NaN	155.079421968637	0.0184471231684921	2	13
11	3	DN	0.131942749023438	0	159.717394171802	0.0276884038296413	2	16
11	4	dDNb	0.0003509521484375	3.20434570312278e-05	155.034292415175	0.0215935913479931	2	13
11	5	dDNd	0.0010986328125	4.27246093750444e-05	155.090683628138	0.0225407728634459	2	13
12	1	McFadden	0.451629407703876	NaN	162.804220775961	0.024744649898339	2	22
12	2	LinearDistrb	0.331916465140239	NaN	157.5435767549	0.0477230414233916	1	20
12	3	DN	0.441711174324155	0.00250797420740123	162.861403776116	0.0199240649510796	1	22
12	4	dDNb	2.04890966415405e-08	0.0262802816927433	156.66837955427	0.0590449847690259	1	26
12	5	dDNd	0.00172915181610733	0.0270039961382281	156.733792702255	0.0415416757120814	1	27
13	1	McFadden	1.59025551774539	NaN	176.12717016801	0.0253242545404056	1	18
13	2	LinearDistrb	0.471697027360648	NaN	160.510882268737	0.0198221880066259	1	16
13	3	DN	0.542689945315942	0	162.032298645318	0.0209040689862048	1	21
13	4	dDNb	0.461534258776737	0	160.513253134124	0.0240126478196175	1	20
13	5	dDNd	0.449160315933113	0.000453704056781135	160.536114198072	0.0203146702725956	1	18
