subID	modeli	name	eta	Mp	wp	nll	nllsd	success	iterations
1	1	McFadden	2.89304466247559	NaN	NaN	250.268607591848	0.0514627371096877	2	9
1	2	Model2	2.53224277496339	NaN	NaN	248.799486813665	0.0712847642019056	2	14
1	3	DN	1	7.8175508260727	-0.366806411743164	241.600635843446	0.108700770765448	2	21
1	4	dDNa	1	6.15991439819337	-0.296294784545898	244.51916089623	0.0549876263163806	2	15
1	5	dDNb	1	6.83765211105347	-0.32408447265625	241.128285200669	0.0531372566123984	2	16
1	6	dDNc	1	6.40228261947632	-0.307264995574951	244.507825590676	0.0509366778925257	2	11
1	7	dDNd	1	6.68683736138046	-0.320070045255125	241.090931706801	0.0598531621891466	2	11
2	1	McFadden	83.6622393681202	NaN	NaN	349.016517162594	0.029147536204209	2	23
2	2	Model2	79.097327709198	NaN	NaN	348.35568660633	0.035457155891319	2	9
2	3	DN	1	333.472911597788	-1.54378936439753	339.382559944905	0.0379557225310725	2	17
2	4	dDNa	1	270.635001562131	-1.21007422586883	338.981323834352	0.0318985884591606	1	32
2	5	dDNb	1	271.629629600048	-1.20509097278118	341.499835475148	0.0380553659426569	1	24
2	6	dDNc	1	267.07262065626	-1.1941529475129	338.957666343097	0.0306583608386267	2	18
2	7	dDNd	1	278.260286974907	-1.23476265594363	341.513856934494	0.0356886144661313	2	21
3	1	McFadden	7.70994262695313	NaN	NaN	183.867581320569	0.0373138528106392	2	11
3	2	Model2	7.11114501953126	NaN	NaN	191.749277907407	0.0380218077218537	2	11
3	3	DN	1	2.23942916989327	0.194161450862884	180.319122124583	0.0347533778721821	2	11
3	4	dDNa	1	-2.37638368606567	0.309862613677979	190.452651984952	0.0630004907494612	2	11
3	5	dDNb	1	-1.47682380676269	0.269338989257813	188.165863676244	0.0568634698514466	2	16
3	6	dDNc	1	5.33581542968751	0.0698150634765625	191.570663090062	0.0376351828324111	2	11
3	7	dDNd	1	-0.824374447769507	0.260463053266358	188.394093280744	0.0511153743449925	1	25
4	1	McFadden	10.0816249847412	NaN	NaN	124.871496535178	0.0244979738738846	2	15
4	2	Model2	9.40402832031251	NaN	NaN	124.889517335676	0.0286349335151575	2	10
4	3	DN	1	12.4418897658587	-0.0462728373706341	124.484550336267	0.0269576548168377	2	11
4	4	dDNa	1	12.2582808885723	-0.0561064718291164	124.412928450851	0.022087057079858	2	11
4	5	dDNb	1	11.5584507305175	-0.0437924917787314	124.49096689445	0.0250633670479624	2	11
4	6	dDNc	1	11.7788284361363	-0.0462839931249619	124.442813662231	0.0311182358652621	2	11
4	7	dDNd	1	12.6584564089775	-0.0614480793476105	124.516535617786	0.0221896077852173	2	11
5	1	McFadden	6.23358869552613	NaN	NaN	152.061467338861	0.0847110130890242	2	9
5	2	Model2	5.17934570312501	NaN	NaN	154.703472320313	0.100272761317773	2	10
5	3	DN	1	16.091099190712	-0.151958453655243	148.437657532775	0.0599147115577577	2	17
5	4	dDNa	1	-1.67826447486877	0.0431233644485474	143.282914340887	0.0420773756450089	2	11
5	5	dDNb	1	-0.263246041536327	0.00692176818847651	142.579321052476	0.0621201409589355	2	11
5	6	dDNc	1	-0.871940027823435	0.0215312552434625	143.184907291574	0.0447955165051154	1	21
5	7	dDNd	1	-1.62461905479431	0.0463518053293228	143.426515790548	0.0686785283874818	2	11
6	1	McFadden	34.8443057850003	NaN	NaN	248.325485418851	0.0287202412735347	2	11
6	2	Model2	34.2345703125	NaN	NaN	248.163573346829	0.0373954077009326	2	9
6	3	DN	1	-12.5823189770803	0.397942143771797	237.899641413373	0.0320637603902446	2	11
6	4	dDNa	1	-16.8731005072594	0.42705852240324	235.682239235091	0.0282986925900832	2	11
6	5	dDNb	1	-17.8163178145885	0.432609060406685	236.74091334979	0.0314308867184088	2	20
6	6	dDNc	1	-17.4499327600002	0.430048567056656	235.683030929916	0.0285911023300606	2	11
6	7	dDNd	1	-15.4721347556624	0.413305471130298	236.732079622616	0.0290344221383122	2	18
7	1	McFadden	55.899609375	NaN	NaN	286.021733010771	0.0381147568810676	2	9
7	2	Model2	54.8771492958069	NaN	NaN	286.479149193244	0.0401178939606116	2	14
7	3	DN	1	96.1451961854094	-0.263008356296632	284.869458078124	0.0314052404396888	1	23
7	4	dDNa	1	-122.375676187398	1.01353138819541	270.704466408986	0.0383331377470371	1	24
7	5	dDNb	1	203.057976722717	-0.981285095214844	284.504282466452	0.0499982999415939	2	16
7	6	dDNc	1	-124.071418762207	1.02601852416992	270.674280209589	0.0367742138425156	2	14
7	7	dDNd	1	-113.037670135498	0.949358558654785	270.931703492019	0.039794738263237	2	15
8	1	McFadden	16.011865234375	NaN	NaN	167.124735241622	1.23827482776739	2	10
8	2	Model2	16.7182357788086	NaN	NaN	169.203496824155	0.904351807179613	2	12
8	3	DN	1	8.34516405101131	0.0870060692763104	168.841214449466	0.916991264627779	1	22
8	4	dDNa	1	9.58457031250001	0.07333984375	168.628292437559	0.10329309118804	2	12
8	5	dDNb	1	3.0369140625	0.13486328125	168.741911968257	0.910811416629214	2	12
8	6	dDNc	1	5.47008178234101	0.116014385223389	169.371871447429	0.103681072628202	2	11
8	7	dDNd	1	11.2503229022026	0.0554270884022117	168.225940258259	0.100418005591325	2	11
9	1	McFadden	7.92935595065356	NaN	NaN	190.252898936047	0.110353914904869	2	9
9	2	Model2	7.56250000000001	NaN	NaN	188.516750830383	0.08485349359712	2	9
9	3	DN	1	5.30061209201813	0.0642894029617309	190.511593129575	0.137568361107944	2	11
