subID	Model	randi	Mp0	wp0	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	2.000000	64.196253	NaN	7.870111	NaN	261.246102	0.028733	2.000000	14.000000
1.000000	1.000000	28.000000	15.136942	NaN	11.538086	NaN	265.430954	0.037518	2.000000	12.000000
1.000000	1.000000	17.000000	34.202722	NaN	17.389473	NaN	268.475201	0.029555	2.000000	12.000000
1.000000	1.000000	21.000000	6.163209	NaN	10.704601	NaN	264.709026	0.020055	2.000000	14.000000
1.000000	1.000000	31.000000	53.960844	NaN	8.933777	NaN	262.809575	0.024896	2.000000	11.000000
1.000000	1.000000	23.000000	5.144580	NaN	10.607544	NaN	264.598117	0.026393	2.000000	10.000000
1.000000	1.000000	16.000000	61.457379	NaN	10.129999	NaN	264.147220	0.024562	2.000000	14.000000
1.000000	1.000000	33.000000	63.052793	NaN	15.628845	NaN	267.785529	0.029914	2.000000	12.000000
1.000000	1.000000	18.000000	61.581261	NaN	9.003832	NaN	262.883072	0.031894	2.000000	14.000000
1.000000	1.000000	37.000000	33.635947	NaN	11.504852	NaN	265.391656	0.020001	2.000000	11.000000
1.000000	1.000000	29.000000	11.048192	NaN	11.367386	NaN	265.303010	0.028522	2.000000	12.000000
1.000000	1.000000	6.000000	86.681705	NaN	20.045143	NaN	269.293382	0.030475	2.000000	12.000000
1.000000	1.000000	4.000000	33.087689	NaN	4.651924	NaN	252.421258	0.026090	2.000000	14.000000
1.000000	1.000000	30.000000	16.186423	NaN	11.340431	NaN	265.227566	0.032413	2.000000	13.000000
1.000000	1.000000	39.000000	23.252985	NaN	11.380981	NaN	265.274041	0.027598	2.000000	10.000000
1.000000	1.000000	3.000000	97.327097	NaN	11.921783	NaN	265.736656	0.025815	2.000000	13.000000
1.000000	1.000000	35.000000	93.038656	NaN	7.545517	NaN	260.684151	0.023165	2.000000	12.000000
1.000000	1.000000	34.000000	45.848155	NaN	11.918762	NaN	265.667216	0.021002	2.000000	13.000000
1.000000	1.000000	8.000000	81.434650	NaN	16.618301	NaN	268.139294	0.027690	2.000000	12.000000
1.000000	1.000000	15.000000	2.730127	NaN	17.991455	NaN	268.694914	0.026215	2.000000	10.000000
