subID	modeli	eta	Mp	wp	nll
15	5	1	-7.02E+00	6.84E-01	3.20E+02
15	6	1	-1.13E+01	7.85E-01	3.16E+02
15	7	1	-7.02E+00	6.84E-01	3.20E+02
16	1	1.43E+01	NaN	NaN	3.34E+02
16	2	1.43E+01	NaN	NaN	3.34E+02
16	3	1	3.67E+01	-6.33E-01	3.30E+02
16	4	1	2.89E+01	-4.81E-01	3.28E+02
16	5	1	2.89E+01	-4.81E-01	3.31E+02
16	6	1	2.89E+01	-4.81E-01	3.28E+02
16	7	1	2.89E+01	-4.30E-01	3.31E+02
17	1	3.67E+01	NaN	NaN	2.62E+02
17	2	3.67E+01	NaN	NaN	2.61E+02
17	3	1	-1.13E+01	4.30E-01	2.44E+02
17	4	1	-3.67E+01	6.33E-01	2.48E+02
17	5	1	-1.43E+01	4.81E-01	2.46E+02
17	6	1	-3.67E+01	6.33E-01	2.48E+02
17	7	1	-1.13E+01	4.30E-01	2.45E+02
18	1	4.64E+01	NaN	NaN	2.44E+02
18	2	4.64E+01	NaN	NaN	2.45E+02
18	3	1	1.80E+01	2.28E-01	2.42E+02
18	4	1	1.34E+00	3.80E-01	2.42E+02
18	5	1	1.80E+01	2.28E-01	2.43E+02
18	6	1	1.00E-01	3.80E-01	2.42E+02
18	7	1	1.80E+01	2.28E-01	2.43E+02
19	1	2.73E+00	NaN	NaN	2.25E+02
19	2	2.15E+00	NaN	NaN	2.24E+02
19	3	1	4.38E+00	-1.77E-01	2.23E+02
19	4	1	-8.38E-01	1.77E-01	2.15E+02
19	5	1	4.38E+00	-2.28E-01	2.20E+02
19	6	1	-1.27E-01	2.53E-02	2.09E+02
19	7	1	4.38E+00	-2.28E-01	2.21E+02
20	1	9.43E+01	NaN	NaN	3.69E+02
20	2	9.43E+01	NaN	NaN	3.68E+02
20	3	1	-1.19E+02	1.90E+00	3.54E+02
20	4	1	-1.19E+02	1.75E+00	3.55E+02
20	5	1	-7.44E+01	1.44E+00	3.56E+02
20	6	1	-1.19E+02	1.80E+00	3.55E+02
20	7	1	-7.44E+01	1.44E+00	3.56E+02
21	1	4.12E-01	NaN	NaN	3.86E+02
21	2	4.12E-01	NaN	NaN	3.86E+02
21	3	1	5.22E-01	-1.95E+00	3.77E+02
21	4	1	-2.03E-01	1.65E+00	3.52E+02
21	5	1	-2.03E-01	1.65E+00	3.58E+02
21	6	1	-1.60E-01	1.29E+00	3.51E+02
21	7	1	-2.03E-01	1.75E+00	3.57E+02
22	1	4.38E+00	NaN	NaN	3.50E+02
22	2	2.73E+00	NaN	NaN	3.49E+02
22	3	1	1.06E+00	5.82E-01	3.48E+02
22	4	1	4.38E+00	-3.29E-01	3.43E+02
22	5	1	4.38E+00	-4.30E-01	3.45E+02
22	6	1	4.38E+00	-3.29E-01	3.45E+02
22	7	1	4.38E+00	-3.80E-01	3.46E+02
23	1	2.89E+01	NaN	NaN	2.14E+02
23	2	2.89E+01	NaN	NaN	2.16E+02
23	3	1	7.44E+01	-3.80E-01	1.98E+02
23	4	1	7.44E+01	-3.80E-01	2.03E+02
23	5	1	7.44E+01	-3.80E-01	2.00E+02
23	6	1	7.44E+01	-3.80E-01	2.03E+02
